Educ,YEAR,Age_grp,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,BASE_YR
NoHS,2001,"(50,55]",1167689.4011403143,202,3.5862214469901725,2.113620388208285,0.28027376854774466,2.084971096217472,3.3059476784424278,1.1222000920119382,2019
NoHS,2001,"(55,60]",881836.6865352567,155,4.356351620142577,2.7976504961309354,0.42984600673091017,2.309731574042101,3.926505613411667,0.7735408579302271,2019
NoHS,2001,"(60,65]",1243054.7640913655,208,4.062904292321957,1.781357177509192,0.8081964350868253,1.4874146331804374,3.2547078572351325,0.7239443549870952,2019
NoHS,2001,"(65,70]",1281782.2963174772,177,3.8345855274029854,2.238137702602918,0.6345657730962286,1.8139341500850978,3.2000197543067572,0.9257654006603934,2019
NoHS,2001,"(70,75]",1587518.4205608747,233,4.208992795067606,2.13607810017422,1.0833306230671451,1.8251442279773662,3.1256621720004607,0.6877397270870426,2019
NoHS,2001,"(75,80]",1535037.1099398874,201,4.472011261481039,1.6994390307675609,1.3298747842073442,1.5014331560849588,3.142136477273694,0.5934568743980702,2019
NoHS,2001,"(80,85]",846524.2686230992,116,4.23646774985817,2.718500922063409,0.9689156189563414,2.4520923750341,3.267552130901829,0.7745795100449481,2019
NoHS,2001,"(85,90]",560556.9662260812,66,5.08995068933015,0.7297110465811645,2.06531919608316,0.5047111519298276,3.02463149324699,0.6388108399443426,2019
NoHS,2001,"(90,95]",44166.56080740568,10,-0.23645431925171706,3.660974170978684,-2.65638601415021,2.5249547168769526,2.4199316948984926,1.153384454559614,2019
NoHS,2004,"(15,20]",69372.16942486778,10,0.15564769246421722,3.3001113850265855,-2.3435669594898996,2.73067224666072,2.4992146519541167,0.578932795375018,2019
NoHS,2004,"(20,25]",676955.6495531881,99,1.6622137538148374,2.8375649420747777,-1.7617054851685299,2.462296377386442,3.423919238983367,0.6251229417636285,2019
NoHS,2004,"(25,30]",974256.9738947768,155,2.3025241828293077,2.214005978138971,-1.2001681415348129,2.0317741127042392,3.5026923243641206,0.5806021998814396,2019
NoHS,2004,"(30,35]",680189.0253300158,120,3.081594135237496,1.5262452372690454,-0.5778470183078058,1.418464193995407,3.6594411535453015,0.6727379784200619,2019
NoHS,2004,"(35,40]",980031.62479176,172,2.5100308676869925,1.8536721015589865,-1.136480008529292,1.6328488568864292,3.6465108762162846,0.6086085291101822,2019
NoHS,2004,"(40,45]",1246973.3799595956,198,3.641770254782877,1.8939430819983964,-0.1388436550910638,1.516953285370247,3.780613909873941,0.6113467711347265,2019
NoHS,2004,"(45,50]",1030330.4984525687,195,3.2504260358332426,2.232050286859431,-0.38101054780654364,2.1043979358788265,3.631436583639786,0.7769176091563349,2019
NoHS,2004,"(50,55]",815361.7233945855,141,3.906258484580991,1.8206093367182417,0.2548928614700897,1.6064458521713847,3.6513656231109013,0.6171016696938733,2019
NoHS,2004,"(55,60]",658854.8505911725,129,3.8984305521446196,2.001788990228916,0.2953283638200151,1.6194511373731297,3.603102188324604,0.8271889100284324,2019
NoHS,2004,"(60,65]",863898.5172756349,130,3.4280915477931497,2.880573592676275,0.16483483899007215,2.4948880660743904,3.2632567088030777,0.9925404291754776,2019
NoHS,2004,"(65,70]",1489313.743380358,190,3.9558598277601,2.1584839185785296,0.540271286638507,1.8915716941540182,3.415588541121593,0.6692663308254576,2019
NoHS,2004,"(70,75]",1319864.5738712687,165,4.003613541464283,1.587751178524329,0.981955477205027,1.5702513177987063,3.0216580642592556,0.5259234144922617,2019
NoHS,2004,"(75,80]",1280418.8243616486,145,4.055344781639105,2.050358578483457,0.9690233123981995,1.6912251575485986,3.0863214692409056,0.6618995513873153,2019
NoHS,2004,"(80,85]",813519.9146337978,100,3.8481429324394627,2.3880456959310044,0.7557002358261549,2.0142390210854906,3.092442696613308,0.6999308130963798,2019
NoHS,2004,"(85,90]",510891.8391052814,60,4.204664746306041,2.604706486299354,1.208106166192149,2.330391341290443,2.9965585801138923,0.9573061723986952,2019
NoHS,2004,"(90,95]",436179.07304797886,40,4.942160105924713,1.7464506660736272,2.1162134001910866,1.4193050927128603,2.8259467057336263,0.6231010070247139,2019
