time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState	R
0.0	0.00026135473548143107	0.0018779737142705782	0.0038866261914272671	21.996909935267173	0.9965529435280287	0.0099587372428961429	0.032561671005187379	0.0084881127178842719	0.0018762281967344876	7.0	1.0345413398759369
1.0	-0.0059829636214057125	-5.3039304581087299e-05	-0.0025882875857970999	22.138912159486967	0.9999953016405736	0.01332750545218489	0.024248803256371756	0.015410729727637976	-0.004053696120090146	6.0	1.0342887280082418
2.0	-0.0044203293131344773	-0.0084520339918484622	0.00041525646322576604	22.185194212820406	0.9965529435280287	-0.00029812153230397709	0.017983964930874299	0.0098608132893762135	-2.1991441376162087e-05	6.0	1.0342224282939261
3.0	0.0074886714634211926	0.0058368710725518885	0.011810649000280921	22.09500381908444	0.9965529435280287	0.0054641276633555502	0.025311664210114243	0.0033199467495367979	0.0016298089494931499	6.0	1.0343518378035796
4.0	-0.0043150053167081565	-0.0007963601488451405	-0.0049062660627269827	22.299212868646158	0.9999953016405736	0.0111763572185756	0.014415424247484987	0.0077135773918911438	-0.0018888362183698631	5.0	1.0340126832012022
5.0	-0.0059760708620829328	-0.008561363066810046	-0.0063764290890073183	22.235044625015572	0.9999953016405736	-0.0041493037998934224	-0.0017875287614833868	-0.0010267600612402228	0.00069645598635724459	6.0	1.0341512701243849
6.0	0.013208668100447768	0.013620393496434069	0.0070061952881954881	22.2741535647224	0.9965529435280287	0.002121847006286523	0.015997769827150815	0.004661894485028073	0.00028473059037094811	6.0	1.0340956275855344
7.0	-0.00060589276094535904	-0.00033241890257823536	-0.0057677037912670648	22.452735993910615	1.0034517548313977	0.0031400228685935644	0.003480040414330976	0.0050176705297079877	1.1256732003822374e-05	5.0	1.0337964026060518
8.0	-0.011540076949828476	-0.011070831307210052	0.0032464894049251403	22.704659283218003	1.0034517548313977	-0.0098087821528870661	0.0028399036278288492	-0.01266337557149666	-0.0004579889106146027	4.0	1.033399846299994
9.0	-0.0039153008866045919	-0.0055091486391469491	0.0066076309332843974	22.710753756905572	1.0034517548313977	-0.015264891487452928	0.012035822146910347	-0.01567695268094163	0.0011358588419277545	5.0	1.0334383226475099
10.0	0.014164536644449569	0.012144741925652569	-0.0015809504292336185	22.803079839714854	0.9965529435280287	0.0053318844300481033	0.010039615254450962	-0.000358221976510531	0.0031556535607247566	5.0	1.0333118076059329
11.0	-0.006339063480196569	-0.00065197325275458129	-0.0044618291241834418	23.043318514003829	1.0034517548313977	-0.0011569598952583665	-0.0062328628700134003	-0.0010102369727080646	-0.0025314366667172406	4.0	1.0329400932649186
12.0	-0.0067940653916742089	-0.012022738924196072	-0.0027352173444991634	23.345181459995775	0.9999953016405736	-0.012383338670609298	-0.004061814151785581	-0.0082831000662191706	0.0026972368658046315	4.0	1.0325395360409606
