time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A
0.0	0.00035120334904026329	0.00078142972120209819	0.010709916267333641	49.450829388464406
1.0	-0.00072782856883613078	0.00085028591546376653	-0.00099434002777454289	49.467485653583822
2.0	0.0010378299671129909	-3.5116534387258369e-05	-0.0057618416805191863	49.716046919414119
3.0	0.00094498982719892766	0.00050540072239235734	0.0057846300001431761	49.480362112660927
4.0	-0.00071078199779406326	0.00022562538412862487	-0.0017870484069439918	49.604307235102098
5.0	0.0011189350297180489	0.00043091831037256334	0.00093340406571651435	49.499052572052989
6.0	-0.0010072067122115502	-0.00089763536252052134	-0.0039033254645604032	49.996069949146431
7.0	0.0004056225980291206	0.00047840144543243035	0.0029978097025591399	49.507496887742683
8.0	0.00037804990887635448	0.00050292896394443787	0.0048625408252980229	49.530543884396721
9.0	0.0005888235996713842	0.00016465727145709153	-0.006599708038694585	49.646688781343656
10.0	0.00083167465677469465	0.00029415223140372149	0.0027331777876529184	49.539843424811856
11.0	-0.0015321937633476779	-1.8704048819095931e-05	-0.002732734330491926	49.655098671728233
12.0	0.0020060795956391431	0.0006145870580469559	0.0088037139190046965	49.431373490663653
13.0	0.00041120502942182391	0.00096941322599874979	-0.001083460941180947	49.336323580586139
14.0	0.001541465553053234	0.0013903279726459328	0.0031272812087741464	49.113026551415082
15.0	0.00071144501977760122	0.0018156116146021972	0.0049805266127813663	48.901226736463968
16.0	0.0011023170674164806	0.00021455297440575727	-0.0077081208499880649	49.40202340718934
17.0	0.00028387063012269564	-0.00065810637271068728	-0.0028819777075910213	49.655210928833505
18.0	-0.0030262827820008997	-0.0012361902485293896	-0.0079740642373720139	49.88729120506774
19.0	-0.002364407472577712	-0.001737593250749514	-0.00010347574450708663	50.125921231303195
20.0	-0.0024646436510735725	-0.0026282407519579998	-0.010869920385059517	50.586996854356407
21.0	-0.0011322515043945547	-0.0025349848767541872	0.00088243342513050216	50.674392773049789
22.0	-0.00073619380347000885	-0.0022153343251110069	-0.0019859114986129356	50.762756065790263
23.0	-0.0019537386352144193	-0.0010732784674332141	0.0057932097185513509	50.499825738435476
24.0	0.000957348001630276	0.00057415525441961712	0.0029728538176641006	49.998905865601074
