time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
1.400000000000000000e+01;-6.583092953609009923e-03;-7.335796950268286265e-03;-6.463328835302845077e-03;2.427342455128041809e+00;-2.625031437032188109e-03;-3.027824577542054252e-03;-6.463328835302845077e-03;2.394683719607362260e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.006953397605255596e+00
1.500000000000000000e+01;-8.103170332740078363e-03;-2.604136891405345322e-03;-2.407102597171473235e-03;2.433027876980448312e+00;-7.235870873922536917e-03;-4.293182965482228441e-03;-2.407102597171723035e-03;2.393095371710722841e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.006942242732071557e+00
1.600000000000000000e+01;5.416800492064888228e-04;-3.879613312107010881e-03;-6.253319059761675014e-03;2.454968185146703341e+00;-1.472922209393184856e-03;-3.838881000661542586e-03;-6.253319059761563992e-03;2.402471599095476140e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008929155189091320e+00
1.700000000000000000e+01;7.064106957141214060e-03;2.372819370802525807e-03;-1.048160586378493742e-03;2.455958618265691840e+00;-5.594791720879843666e-04;-3.069919489029238058e-03;-1.048160586378493742e-03;2.407899531518476355e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006195749283862906e+00
1.800000000000000000e+01;-1.755903016586785048e-02;-8.643909249527043093e-03;-6.768074526104644884e-03;2.477324633516893027e+00;-9.705289852190976396e-03;-4.934557176589776661e-03;-6.768074526104644884e-03;2.417991515501575428e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008294722682636424e+00
1.900000000000000000e+01;-6.219548394375273848e-03;-3.097852462354055980e-03;-5.547769214314934860e-03;2.504332522418001972e+00;-4.841266459659127053e-03;-3.170758911198695573e-03;-5.547769214315073638e-03;2.435844699941631220e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.009606399733119941e+00
2.000000000000000000e+01;5.225998238696849540e-03;4.411242627645223235e-03;1.782186740794944324e-04;2.513185154163216417e+00;-6.027622917398334224e-04;-1.038761001431909303e-03;1.782186740797719882e-04;2.452151595157414654e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006412977137454146e+00
2.100000000000000000e+01;8.275757155963014977e-04;-6.158397017176325816e-03;-4.051085716583469054e-03;2.525659089222789699e+00;-4.902128040062125880e-04;-4.228603870133990084e-03;-4.051085716583607832e-03;2.464087779037523074e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.005595768083610508e+00
2.200000000000000000e+01;1.229527581653284962e-02;4.928775841743976427e-03;2.748213253860487537e-03;2.515208633437601371e+00;2.584136895089711450e-03;-1.357885031962879907e-03;2.748213253860348759e-03;2.469871656830760820e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.000755185189797780e+00
2.300000000000000000e+01;2.655836886688411891e-03;7.040754823064043766e-03;1.879416674701456236e-03;2.504898988869981746e+00;1.553318025396543955e-04;2.501825077864006097e-03;1.879416674701733792e-03;2.473527766455875465e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.986396209055463657e-01
