time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg
7.200000000000000000e+01;1.022404410122838836e-02;6.500152003144563095e-03;-6.552159025599080255e-03;2.535432304043650831e+00;3.039273220327931568e-03;1.054528687945976984e-03;-6.552159025598830455e-03;2.534633918071798053e+00;3.000000000000000000e+00;9.999988254080117711e-01
7.300000000000000000e+01;8.280815774194441592e-03;1.036494596509122956e-02;9.555531398676625487e-03;2.521701797110257104e+00;4.318193966359920588e-03;5.428985012986387027e-03;9.555531398676736510e-03;2.538749817497742978e+00;4.000000000000000000e+00;1.001725291877806567e+00
7.400000000000000000e+01;1.376220026937066687e-02;7.108197709445526757e-03;5.980524219900917871e-03;2.503368724968800141e+00;8.917424432311846227e-03;5.371001804743633090e-03;5.980524219900890115e-03;2.536118540174462144e+00;5.000000000000000000e+00;9.999988254080117711e-01
7.500000000000000000e+01;-1.917132514565046686e-02;-6.882707496180626161e-03;-6.707285874300444872e-03;2.499467106565153696e+00;-5.366290900721118473e-03;1.183245457453102611e-03;-6.707285874300555895e-03;2.531967818304492468e+00;4.000000000000000000e+00;9.982758827141815505e-01
7.600000000000000000e+01;-2.244457965753926532e-03;-8.824360121032784332e-03;-1.324274898214711227e-03;2.499811167752091556e+00;1.899134712359612509e-03;-1.607794189532538165e-03;-1.324274898214711227e-03;2.522940998361351550e+00;3.000000000000000000e+00;9.982758827141815505e-01
7.700000000000000000e+01;-1.188425159785848340e-02;-6.735936768517941653e-03;-4.427653389986130339e-03;2.528195844132347769e+00;-3.875965017926460976e-03;-1.132037578736574956e-03;-4.427653389986102583e-03;2.535293846363438242e+00;2.000000000000000000e+00;9.982758827141815505e-01
7.800000000000000000e+01;1.004637931314890376e-02;9.282589102840396733e-03;5.002045329507903704e-03;2.518221161970629396e+00;1.710956407184896499e-03;1.303874675526575655e-03;5.002045329508014726e-03;2.529042091107427392e+00;3.000000000000000000e+00;1.001725291877806567e+00
7.900000000000000000e+01;1.067469864928768941e-03;-7.534292449107984901e-03;-4.682506140903930358e-04;2.522597246117032288e+00;1.929686822989856720e-03;-2.654844702619701957e-03;-4.682506140905040581e-04;2.525128718228232483e+00;2.000000000000000000e+00;9.999988254080117711e-01
8.000000000000000000e+01;6.304632935124954152e-03;7.047241586261673851e-03;-3.435167155385721038e-03;2.514962697922318302e+00;2.369409860670662615e-04;6.327334583574317772e-04;-3.435167155385610016e-03;2.519266664351495599e+00;3.000000000000000000e+00;9.999988254080117711e-01
8.100000000000000000e+01;-2.590849357514427020e-03;8.538832025046710905e-03;1.085330448125523817e-02;2.504553463353038190e+00;-2.507332532320799556e-03;3.424518791340785961e-03;1.085330448125523817e-02;2.517936047165181712e+00;4.000000000000000000e+00;9.999988254080117711e-01
8.200000000000000000e+01;-2.685420890894241186e-03;-7.733839265768066573e-03;-6.559104780327007500e-03;2.504321508648938543e+00;2.094354848948293268e-03;-5.963301931514036758e-04;-6.559104780327007500e-03;2.512343187320212223e+00;3.000000000000000000e+00;9.982758827141815505e-01
8.300000000000000000e+01;-5.858429744164603270e-03;-6.343443603270965125e-03;-5.116888516718404167e-03;2.501822265235381426e+00;-1.377685039708573256e-03;-1.636185710414406191e-03;-5.116888516718404167e-03;2.501332119297689172e+00;2.000000000000000000e+00;9.999988254080117711e-01
8.400000000000000000e+01;-1.397787125177471501e-02;-7.592863373088495904e-03;-4.346616909693401531e-04;2.512731305656932257e+00;-7.215150606251261034e-03;-3.812095645835247848e-03;-4.346616909693401531e-04;2.495398415331759878e+00;1.000000000000000000e+00;9.982758827141815505e-01
8.500000000000000000e+01;1.290474868157186206e-02;6.467144981913447443e-03;5.119068228733036907e-03;2.507883118088602981e+00;2.283047354728895417e-03;-1.148039907738623855e-03;5.119068228732787107e-03;2.492816776294843883e+00;2.000000000000000000e+00;1.001725291877806567e+00
8.600000000000000000e+01;-5.979003579105676702e-03;-7.345632560161907687e-03;-6.634562605903004950e-03;2.518892857402903918e+00;-2.270713927886747197e-03;-2.999094161927853830e-03;-6.634562605902616372e-03;2.491633248290249902e+00;1.000000000000000000e+00;9.982758827141815505e-01
8.700000000000000000e+01;4.453488268456096133e-03;4.997690096274681748e-03;-1.428104988577760803e-03;2.507346931596757145e+00;-2.556005591639598507e-03;-2.265959163379502317e-03;-1.428104988578010603e-03;2.486155000227284528e+00;2.000000000000000000e+00;1.001725291877806567e+00
8.800000000000000000e+01;-1.445430533565059128e-02;-7.618687011397409781e-03;-2.718488432314758452e-04;2.505562979199481788e+00;-6.328476699973800690e-03;-2.685257257205170278e-03;-2.718488432313370673e-04;2.475006185336863229e+00;1.000000000000000000e+00;9.982758827141815505e-01
8.900000000000000000e+01;1.562166791981241254e-02;6.033939376609023797e-03;6.352975996728599251e-03;2.501765552792794889e+00;5.466691501365500416e-03;3.566637930231819631e-04;6.352975996728460473e-03;2.474695246536567694e+00;2.000000000000000000e+00;9.999988254080117711e-01
9.000000000000000000e+01;-9.439559779567646691e-03;-6.771760789359607124e-03;-5.582663710253787936e-03;2.532016041558610375e+00;-3.200284338791270500e-03;-1.778411921479816638e-03;-5.582663710253676914e-03;2.496842312882871617e+00;1.000000000000000000e+00;9.982758827141815505e-01
9.100000000000000000e+01;-7.203867249795090077e-03;-6.256697558719923058e-03;-1.480820824136530600e-03;2.558955459853511361e+00;-4.265678363378891391e-03;-3.760859798263460618e-03;-1.480820824136641622e-03;2.511593060330877591e+00;0.000000000000000000e+00;9.982758827141815505e-01
9.200000000000000000e+01;5.715595057920186406e-04;2.710278773009500153e-03;-6.902358262473540229e-03;2.564389410032201777e+00;-3.947533565962987878e-03;-2.807647860334175349e-03;-6.902358262473401451e-03;2.522004162633989743e+00;1.000000000000000000e+00;1.001725291877806567e+00
9.300000000000000000e+01;7.404199711284767393e-03;2.873661765703264259e-03;-6.716264311106279195e-04;2.581723705144870706e+00;-1.075528397723846119e-03;-3.490195681147223450e-03;-6.716264311106279195e-04;2.552001161881129132e+00;2.000000000000000000e+00;1.001725291877806567e+00
9.400000000000000000e+01;8.012117023351458811e-03;7.374470173950778418e-03;2.775573716874091268e-03;2.569390329856768407e+00;2.266347118913075720e-03;1.926496751446793443e-03;2.775573716873952490e-03;2.558085189550542538e+00;3.000000000000000000e+00;1.001725291877806567e+00
9.500000000000000000e+01;-1.092517626324364388e-02;-6.597048599453536610e-03;-1.776403455611447191e-03;2.580947393458703054e+00;-7.039836976127367141e-04;1.602803795123342034e-03;-1.776403455611197391e-03;2.567470134531147696e+00;2.000000000000000000e+00;9.982758827141815505e-01
9.600000000000000000e+01;-8.088025224593300977e-03;-9.854930326374106153e-03;-1.125644516650792237e-02;2.589914835169685681e+00;-3.294151949850526728e-03;-4.235869687000237693e-03;-1.125644516650828320e-02;2.567188185165021785e+00;1.000000000000000000e+00;9.982758827141815505e-01
9.700000000000000000e+01;7.651114048485119223e-03;5.371983130469909495e-03;8.371934302835004615e-03;2.584165541008845324e+00;3.996877552576993953e-04;-8.150339684036833621e-04;8.371934302835115638e-03;2.569526311529563234e+00;2.000000000000000000e+00;1.001725291877806567e+00
9.800000000000000000e+01;-1.524083323939776080e-02;-6.643962504078754217e-03;-5.983921109728451704e-04;2.598944593081112586e+00;-5.463455803521005683e-03;-8.815313712049743788e-04;-5.983921109727063925e-04;2.575782417500572574e+00;1.000000000000000000e+00;9.982758827141815505e-01
