time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A
0.0	-0.00018476455648452905	0.00067594233577961127	0.0058047926837817565	25.730858942554928
1.0	-0.0066063979475583512	-0.0034492367382312761	-0.011135029493701154	25.892898370308373
2.0	0.0018640472302713373	-0.00028247959520333321	0.0014663429610083378	25.881815720652842
3.0	0.0036493022005195108	0.0027698643121121247	0.0061800907991541587	25.702238614474517
4.0	-0.0052789292911122887	-0.003405561362647358	-0.0035616632644243085	25.878087300161944
5.0	0.0038369776328921468	0.0024605377615800617	-0.0012614025205505142	25.6877306680584
6.0	0.00036144018460915195	0.00058064761115506069	0.0059327500132249078	25.69032775990264
7.0	-0.0037814601299147599	-0.0036358594424065194	-0.012762804075744483	25.845163862813809
8.0	-0.004205310685018393	-0.0039554788049862566	0.0032373285502235172	26.021143838826546
9.0	0.0044272512313133783	0.0035786680067986243	0.0010430963188751141	25.832224397956637
10.0	0.0014788567009165199	0.00040349431915776002	0.005583165680501101	25.836825086559617
11.0	-0.0061049985465354561	-0.0030771250525888361	-0.003767518836663819	26.018244503012873
12.0	-0.0012397716317489316	-0.0040235787043412241	-0.0086359708208625374	26.18792280843568
13.0	-0.001657124242945951	-0.00054037809905416179	-0.0017807825504744246	26.174120051911377
14.0	-0.0042589102932066858	-0.0045612747356350569	-0.011946991304067067	26.320652191961162
15.0	-0.0023321746118881714	-0.000123189157096526	0.0047718271144930879	26.299818020497366
16.0	0.0013383954108402429	-0.00043765720471500291	-0.0045617015491791202	26.267442175462502
17.0	-0.0020400195757497297	-0.0039245300361828717	0.00014671279731193199	26.428131795106818
18.0	-0.0041710377449436509	-0.00058979521532454005	-0.0011244375779840832	26.405604813373103
19.0	0.00033875980639286318	0.0015927585284742918	-0.0026622816857706511	26.189664364203352
20.0	-0.0027471365581145379	-0.0030744274017188156	0.0039829439400891342	26.356235217615819
21.0	0.0030208659271449001	0.0002145705447113011	9.2743734701361547e-05	26.341272419810942
22.0	0.002518792844560469	-0.0004403619724872021	0.0037668976132665399	26.33818232303107
23.0	0.0018685575945202038	0.0036299980449637781	0.0030097123948925608	26.152161293117913
24.0	0.0039985551061787472	0.0032319432480244492	0.0042594513109160959	25.970319774628248
25.0	0.00026965237111076235	0.0024670927533609888	0.004478688834661404	25.795366011948659
26.0	0.00235365737378046	0.00053974686682878303	-0.005382876349413257	25.782524037749063
27.0	-0.0058224084694641354	-0.0034912181779770401	-0.0014232537160947523	25.953797429148928
28.0	0.0051647927422301398	0.003929607312383343	0.0053490770175079749	25.772139813526746
29.0	-0.0057426216951395048	-0.0045129258397010874	-0.0040518983531666608	25.948616005227969
30.0	0.00060470519449051796	0.00099852207324457876	-0.00065170143203008291	25.94216109078948
31.0	-0.0029693401475084924	-0.0039218143116659387	-0.0063827696990758076	26.108251319919916
32.0	0.0029280952373330615	0.0037783877187413939	0.011198419182932406	25.936122887889542
