time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	MrkvState	R
0.0	0.00016801654167174218	0.00239503847514555	-0.004944546983630338	22.133534334103228	7.0	1.0343440227771843
1.0	-0.0089789690524210847	-0.00081002405630355157	0.011657842482153041	22.294317448804808	6.0	1.034067001824043
2.0	0.00097778545042181975	-0.0045762101828041024	0.0014903026823611942	22.35136841711827	6.0	1.0339862386402523
3.0	0.0083521442745254498	0.006076657132254068	-0.00053872676939570319	22.236567164914145	6.0	1.0341491009171018
4.0	-0.0048602681941152942	-1.3053069366567027e-05	0.0068581820058497556	22.448296523131134	5.0	1.0338026227794959
5.0	0.00067750096743178501	-0.002883945805065305	0.00099441423463889067	22.394983264512778	6.0	1.0339247237268336
6.0	0.010395449919945607	0.010962634580932593	0.00466163515760884	22.446191956886615	6.0	1.0338527486536206
7.0	-0.0013999564542813425	-0.0010232243431245736	-0.0093838839171401789	22.629829522359145	5.0	1.0335499093432361
8.0	-0.012260013936592221	-0.011613590535649004	-0.0011275888161284275	22.876952177492473	4.0	1.0331645521068573
9.0	0.0003061414081996644	-0.0018895113399750446	0.021273917983662627	22.907505098820153	5.0	1.0331697215865374
10.0	0.014628331967972419	0.011845903208386396	-0.0097510000716451717	23.00281149277788	5.0	1.0330409671554457
11.0	-0.0094100786227168665	-0.0015756570055437957	-0.0017790968344543467	23.257204623726075	4.0	1.0326553963059082
12.0	-0.0036965894008551686	-0.010899505358591799	-0.010432145600406395	23.549603002700678	4.0	1.0322730694313855
13.0	-0.0012345185898459399	0.001654987906409916	0.0061561363707670069	23.69415224227988	4.0	1.0320869257309633
14.0	-0.00050214406186312177	-0.0012844919798856852	-0.012345127850202114	23.972924513355341	3.0	1.0316878634283082
15.0	-0.017290656547286926	-0.011575053357907122	-0.0074202746090619998	24.134888584989149	3.0	1.0314855963513074
16.0	0.0075363046431628777	0.0029408864289078435	0.025572850371394756	24.361667668279654	3.0	1.0312060971697146
17.0	0.0045163007043858561	-0.0003597449819751769	-0.003407235020967736	24.750902867045074	2.0	1.0306918019314069
18.0	-0.016117962811762698	-0.0068517355580553219	-0.017620373654138655	24.97867300331248	2.0	1.0304226650386352
19.0	-0.0013276863719103305	0.0019169520569484871	0.003347648046631152	25.038857376455752	3.0	1.0303962817408876
20.0	0.0072572229417159351	0.0064103796157438248	0.0059554833119268846	25.408497393363167	2.0	1.0299255840120547
21.0	-0.0014255394276887351	-0.008686642393933644	-0.019454460059339512	25.612692612033005	2.0	1.0296942402957714
22.0	0.006679014359360122	-0.00097760224420249953	-0.00040209830536797053	25.819770034713752	2.0	1.0294626999357295
23.0	0.00029585601417743412	0.0048534662214421709	0.019939892196465969	25.892996500783457	3.0	1.0294246748660596
24.0	0.013831239173383122	0.011847681892832085	-0.018969770940080566	25.839562743653396	4.0	1.0295270682566029
25.0	0.0081091791288565584	0.013794910209619191	0.0020944515203122904	25.714819238853668	5.0	1.0297095431579044
26.0	0.01429148374974995	0.0095981107552410294	0.010070141292456619	25.730769138086544	5.0	1.0296916651677337
27.0	-0.0085476218004618965	-0.0025158217104376268	-0.00765106739309665	25.910123142880657	4.0	1.0294488141051872
28.0	-0.004766588694127355	-0.0079625489785167813	0.0053987690220820561	25.809703827736204	5.0	1.0296034553482809
29.0	0.0058431961997362225	0.0090249525748473391	0.013381831342315881	26.040709906734591	4.0	1.0293049064670934
30.0	-0.010048000759081549	-0.0090290257344357028	-0.0055365454052230811	26.141994622019034	4.0	1.0291941023426312
31.0	0.0011625801520444567	-0.0013018835041788968	0.0033197623809735066	26.438526687891972	3.0	1.0288311793012324
32.0	-0.0079499692827558616	-0.0057498939458627552	-0.0048234782630515727	26.413749029854429	4.0	1.0289002546372832
33.0	0.019423907698789614	0.012975216470128836	0.006444927602576922	26.331066804438464	5.0	1.0290317500999258
34.0	0.010083004259918454	0.014106481632252588	-0.0090212665157209104	26.14296049040442	5.0	1.0292358629079474
35.0	0.00028405097592618112	-0.00045742555911129634	0.00068101436757050937	26.139261565184622	5.0	1.0292399007246427
36.0	-0.0047755397712638259	-0.0021093529039872272	0.0047308740713318809	26.336150603769909	5.0	1.0290262669028256
37.0	0.0024914982983101908	-0.0032687849029555682	-0.0071605134634643575	26.523158377017161	5.0	1.0288257661444569
38.0	-0.010475493885180515	-0.0032902767457650139	-0.0071506634562632232	26.70026905296092	4.0	1.0285957629004305
39.0	-0.0037587970555605088	-0.0087895035320751103	0.018660310544294262	26.814121361439181	4.0	1.0284762524355946
40.0	-0.0098093478719343125	-0.0061557343183065022	-0.023227509735690849	27.063929748760685	3.0	1.0281750242284853
41.0	-0.014487657640708612	-0.012360895860394142	-0.012940103257569877	27.355171274244011	3.0	1.0278778804738558
42.0	0.00094591814776624761	-0.00068050037546413256	0.0014947663534192607	27.465883956261326	3.0	1.02776628116685
43.0	0.0029618541112146901	0.0041010214466407069	0.013449233212525585	27.414829904271755	3.0	1.0278176522429783
44.0	-0.0029172214038292732	-0.005056023464681314	-0.021213825529280195	27.696197086847786	2.0	1.0274951646390822
45.0	-0.0094169842060853465	-0.0089600849369438074	0.010025497834828145	27.885591743854953	2.0	1.0273086984452824
46.0	-0.017245682045102795	-0.019599185761470614	-0.029615422425730273	28.045875131983667	2.0	1.0271525085329452
47.0	0.0071477987176309238	0.0062336477965936332	-0.0023327564115003946	27.988516750735528	3.0	1.0272492627698537
48.0	0.0049150970367652369	0.0074899731528746266	0.0083611704508628204	28.085037532147854	3.0	1.0271555076340992
49.0	0.0027960177142897086	0.0023569245975289393	0.00045713103162507707	27.982538509328702	4.0	1.0272960998350793
50.0	0.0067990264271836215	0.0056607783089085706	-0.00078415185807025056	28.206490526245016	4.0	1.0270790867687485
51.0	-0.0066546783759376255	-0.0036591906089808307	-0.012545612973494491	28.406370222206466	3.0	1.0268471529948342
52.0	-0.0071338722495657841	-0.011643650722140686	-0.0028248539102227188	28.479736769451414	3.0	1.0267775504721479
53.0	-0.0039149406689182875	-0.0043993823706720836	-0.0039852347568703206	28.752091259958288	3.0	1.0265217198582479
54.0	-0.00061981665451442403	0.0016879177082809727	0.0054602925705467542	28.640283624384125	4.0	1.0266666686223207
55.0	0.012704371032684292	0.0047867674831794799	-0.0062266698399403853	28.849356027648295	3.0	1.0264313169821178
56.0	-0.020163801180408586	-0.014825790122185753	-0.0097379429713086441	29.119004966751913	3.0	1.0261832843676082
57.0	-0.0040384201712519302	-0.00031749462329941358	-0.0051929542167508808	28.974226131214937	4.0	1.0263560951230537
58.0	0.011675038538262475	0.012578078850019228	0.0051643164897184207	28.764805476255102	4.0	1.0265501694529342
59.0	-0.0011351117340897832	-0.0016048590747340108	0.0015447450917086686	28.763862369780899	4.0	1.0265510486877514
60.0	0.0003572166659115833	0.0013312211337239838	0.0025289239642895672	28.568395431235675	4.0	1.0267343041598653
61.0	0.0043388158966085888	-0.0015530325443718074	-0.00084020002136447891	28.572884554140721	4.0	1.0267300724294988
62.0	-0.01046292675016984	-0.0038625408370063508	-0.0073316332949132784	28.765064579121027	3.0	1.0265096328185834
63.0	-0.013606738583490707	-0.015835134788882016	-0.010658665332148959	29.017816845862693	2.0	1.0262358258102882
64.0	-0.013700691312080605	-0.012081218807061214	-0.0042040823400503885	29.13866375839876	2.0	1.0261253635113265
65.0	0.00040796934720913752	-0.0052850101816222794	-0.007368264952496123	29.456404890487068	1.0	1.0257987477366362
66.0	-0.021979943371226697	-0.013073630703145059	-0.0067922952757460756	29.841162790830879	0.0	1.025418979780554
67.0	-0.0012002759139150415	-0.0050163282023142283	-0.0036599673774424732	29.86572207843	1.0	1.0254369228416957
68.0	0.0054895936059213279	0.0046202111014516725	0.0024439813774008307	29.838825940986833	2.0	1.0254998518759235
69.0	0.0019191006726769488	0.00032460384277872845	-0.0098382747808073677	30.150571864781778	1.0	1.0251898867168263
70.0	-0.012719295607060394	-0.013230772591604645	-0.014587615378187304	30.507946084190678	0.0	1.0248464448960957
71.0	-0.0065272755603201227	-0.0040820519961618992	0.009434096266554096	30.532465002199817	1.0	1.0248646325742774
72.0	0.0016574775173248055	-0.0026962821731641093	-0.018259183006491642	30.888529933672764	1.0	1.0245673297335671
73.0	-0.0087126943769396149	-0.0062760496579568979	-0.0065925346786841945	31.248014019536921	0.0	1.0242345421046066
74.0	0.0032737353816173799	-0.0045057403289487158	0.0035465668271648342	31.249660658535202	0.0	1.0242332071673137
75.0	-0.021438637236038244	-0.0070714948041663908	-0.01743939044810577	31.654652107621132	0.0	1.023908342746892
76.0	0.00038529752651228662	-0.0073075442681667328	-0.011415919350094249	32.052913061909898	0.0	1.0235954568967554
77.0	-0.007849475950344775	-0.001830363423034222	0.0037318953811380437	32.028034030304084	1.0	1.0236524941180218
78.0	0.0014310797246393833	0.00053810029826386468	-0.0053697106101842085	32.158400338532154	1.0	1.0235512292776856
79.0	0.006186583364803008	-0.0038701006216342558	-0.0061018017047673248	32.282727819892088	1.0	1.0234552804407642
