time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY
0.0	0.0010542673445651518	0.0016362603298163414	0.0077857622597924392	6.2470264414603989	0.9965529435280287	-0.0069644052862782857	0.0030937917910418555
1.0	-0.0037427371399341158	-0.0016079271440456733	-0.014734098782942184	6.2674605454064656	0.9999953016405736	-0.0053236940106626829	-0.006172033569326163
2.0	0.0007105998395732227	-0.00074083916516565207	0.0020396988131259342	6.2520164916193908	0.9965529435280287	-0.007029877938091178	-0.015975698291094576
3.0	0.001151166413130289	0.000556507898579639	0.0082501509553669639	6.2139029919805626	0.9965529435280287	-0.0041111695938769177	0.0049697872863359027
4.0	-0.0020044407763680772	-0.0007377064177142012	-0.0046621443794350181	6.2514100669320332	0.9999953016405736	-0.0026494892626663935	0.0017453267607273615
5.0	0.00057316594034184654	-0.00035755548982630003	-0.0016672396940059508	6.1995211055148367	0.9999953016405736	-0.003345694709654512	-0.009504944443885277
6.0	0.001067604535873401	0.0012158282641963059	0.0079854661891024525	6.2084783481874011	0.9965529435280287	-0.0007107351831632247	0.0072354611341056696
7.0	-0.0019042537192989206	-0.0018058014127829702	-0.016862866324037884	6.2206902846027097	1.0034517548313977	-0.0018412331369425106	-0.011865270963033248
8.0	-0.0031829948799787511	-0.0030140635016225881	0.0044369618972227576	6.2525352498970515	1.0034517548313977	-0.00649155696838144	-0.015214071325602929
9.0	0.00061042127099220078	3.6626070200607153e-05	0.0013604023176073676	6.2018918993282073	1.0034517548313977	-0.0048470037541351596	0.00088042977494662278
10.0	0.0015715097934725364	0.00084437100974521506	0.0074917527571978226	6.2118451077513059	0.9965529435280287	-0.0032617935792242925	0.0063324837190185113
11.0	-0.0031636176558261786	-0.0011162294571915865	-0.0050078101887865989	6.2544601264829627	1.0034517548313977	-0.004934530934995518	-0.0069254774251350515
12.0	-0.0024712534171975609	-0.0043536087266566881	-0.011430160330559991	6.278564778599705	0.9999953016405736	-0.0085504332439380049	-0.013693493376260024
13.0	-0.0037262834512871157	-0.0029711617857203221	-0.0023085686373355285	6.2612058809782027	0.9965529435280287	-0.011164039539832027	-0.014334822319589602
14.0	-0.005695195101508399	-0.0058996479600416096	-0.015669854742459965	6.2614342176673903	0.9965529435280287	-0.018279515764069942	-0.03799014325115202
15.0	-0.0039269723178386728	-0.0024333000226990364	0.0065329473057781362	6.2419793199821072	0.9999953016405736	-0.018907014373986009	-0.014594329621336
16.0	-0.0014408687544748	-0.002641800422363616	-0.0058436576375426874	6.2141705840717973	1.0034517548313977	-0.018534751294727037	-0.024874949156101445
17.0	-0.0024428734032622135	-0.0037171421217564449	0.00049008794371663278	6.2403486928538161	1.0034517548313977	-0.022288519486684089	-0.025745263529992179
18.0	-0.0047667524257066773	-0.0023451870246922191	-0.0012879747794016794	6.2263608792222742	0.9965529435280287	-0.025478077521121523	-0.034524991066591681
19.0	-0.0033665518815703122	-0.0025186227359751401	-0.0032859928182291664	6.1676663169573374	1.0034517548313977	-0.026880470799905076	-0.032803173696034249
20.0	-0.00038336763099655613	-0.00060467522923546291	0.0056458358698758815	6.2108443389470605	1.0034517548313977	-0.023131537302483851	-0.015727177495598377
21.0	0.0017711332069388908	-0.00012642825306397043	0.00032740546221365907	6.2125525472360463	1.0034517548313977	-0.020286803769827499	-0.013091203396049189
22.0	0.0017679654399256339	-0.00023295654788790809	0.0051881749287455703	6.2286303379958508	1.0034517548313977	-0.014620112357673798	0.0077668262751563466
23.0	0.0010097437804391651	0.0022007949911471147	0.0041154674350675213	6.2068536008489552	0.9999953016405736	-0.0099860173438276467	0.0053493464044457317
24.0	0.0038678040522960311	0.0033494362689469037	0.0058152131140857266	6.1916729814547367	0.9999953016405736	-0.003994780652517127	0.017008217156074146
25.0	0.0024138512643696597	0.0038997170096911615	0.0061085537211806873	6.1823522567501463	0.9999953016405736	0.0036220784789304794	0.0226266829335382
26.0	0.0043313624077241375	0.003104831982084999	-0.0069868926579801371	6.1890829386831943	0.9999953016405736	0.0090720974857076975	0.016927765054959742
27.0	-0.0013344825240827474	0.00024182226576519028	-0.0016618093572654535	6.2336471685978934	1.0034517548313977	0.011832542487448028	0.018551948515923455
28.0	0.0039266994761775198	0.0030914915068719351	0.0071885756182625826	6.2033048468800995	0.9999953016405736	0.015528709223555426	0.020094688264310157
29.0	-0.0018409033603815628	-0.0010094073327675535	-0.005243980624697997	6.247607309978811	0.9999953016405736	0.014645730143851843	0.0145233021773985
30.0	8.0034225057756814e-05	0.00034632541311307996	-0.00082386736661055338	6.2458981503285411	0.9965529435280287	0.015225012104852831	0.0085112598820423768
31.0	-0.00147522053464888	-0.0021192647350088967	-0.0083506752824861197	6.2708867679923701	1.0034517548313977	0.010904952378696819	-0.0039548828355112642
32.0	0.00071071118184673487	0.0012856621483594566	0.014895103414295119	6.2456040182158379	1.0034517548313977	0.0088411782581093723	0.0051250074646981281
33.0	0.0035729083160447317	0.0018876563646744726	-0.0017156177759763969	6.210880581439671	0.9965529435280287	0.0068291176130926834	-0.0026991640324589561
34.0	0.0017139697664694253	0.0027654347618600861	0.0041594935156928914	6.180028144053896	0.9965529435280287	0.0064897203928677705	0.0084472221412140724
35.0	0.00245721764843565	0.0022634458064821894	0.0026018976796780002	6.1928231180389552	1.0034517548313977	0.0085113439335847696	0.012710929178157526
36.0	-0.0012036496887156689	-0.00050688867760917411	-0.0045627389819481445	6.237795445988084	1.0034517548313977	0.0049129637491036604	0.00095961457794679905
37.0	-0.00021598096042907411	-0.0017213295902772652	-0.0065230124655299981	6.2703552096888391	0.9999953016405736	0.0042010414915939487	-0.00031941726288520211
38.0	-0.0045741569093300516	-0.0026964268745282016	-0.011893815860089307	6.2787699978453357	0.9999953016405736	0.0011582892039526671	-0.011389365756363956
39.0	-0.0023899037091316133	-0.0037045903030000771	-0.0046296929674484177	6.2415078541184368	0.9999953016405736	-0.00042703636403851331	-0.0076683834413262542
40.0	-0.0038098126583551162	-0.0028550050621348744	0.0073956333780370587	6.274384731164254	1.0034517548313977	-0.0045677035745328443	-0.015167853477584314
41.0	-0.0054239042475902055	-0.0048681124887220983	-0.011977346991977278	6.2885979997301948	1.0034517548313977	-0.011323472427929415	-0.025429582693585195
42.0	-0.0027054510294527434	-0.0031304868844549416	0.0072821480327169841	6.2870924405025681	0.9965529435280287	-0.017219394074244443	-0.022306928176561103
43.0	-0.00080810643103257362	-0.00051040509801913991	-0.0055085345156334897	6.2291608460954055	0.9965529435280287	-0.019993244978745772	-0.030417360371872593
44.0	-0.00086150153005870589	-0.0014204398043283772	0.00022175438612326293	6.261843723463735	0.9965529435280287	-0.020906796105464975	-0.025632867003801185
45.0	-0.00066966356665210114	-0.00055026098439203697	-2.1043868111414454e-05	6.2528392965525983	1.0034517548313977	-0.019735727499579747	-0.019130898406382602
46.0	-0.00051112626157634455	-0.0011261730346235899	-0.0013271466884435812	6.2433127945541003	0.9999953016405736	-0.018165473659675135	-0.0085642292347368754
47.0	0.00051128356195784264	0.00027238630840697997	0.0024710974308208566	6.1966859930668861	0.9999953016405736	-0.014188497048268078	-0.001463438836467601
48.0	-0.00068739793759442502	-1.449938417574792e-05	-0.0030363915215319004	6.1850583491628743	1.0034517548313977	-0.011347991370308952	-0.01189546373603656
49.0	0.001370307719367081	0.0012555584616316118	0.01033937848351163	6.1547855364479771	1.0034517548313977	-0.0052243204199552418	0.010421261739452348
50.0	0.00078295639451708698	0.00048549528272723297	-0.0026091461333429544	6.2015277889099822	0.9965529435280287	-0.0016083382527730672	0.00052996757339240919
51.0	-0.0040720600203211221	-0.0032892420149972512	-0.012635239625764405	6.2238892090685285	0.9999953016405736	-0.0043871751697511785	-0.0065967375367385062
52.0	-0.0010865755673017397	-0.0022651267960186461	0.0065385481515319865	6.226619645199519	1.0034517548313977	-0.0052318621614414473	-0.00027994377132978254
53.0	-0.0012877577356973369	-0.0014143580479556439	-0.0068415522880341806	6.2580208421667392	0.9999953016405736	-0.0060959592250050543	-0.0071004521912525487
54.0	-0.0032470446033661116	-0.0026439588453039953	-0.0031068476186371097	6.2021889736333646	1.0034517548313977	-0.0076137450356854597	-0.0088801531214460772
55.0	-0.001655571914820908	-0.0037246982474132828	-0.0026959296998704252	6.2349858242047409	1.0034517548313977	-0.011610829591505722	-0.014047180252137359
56.0	-0.0045788262221228004	-0.0031838309845892976	-0.0099335609063990749	6.250180971844018	0.9999953016405736	-0.014780161191919272	-0.020944349637004533
57.0	0.0016173234181916518	0.0025897218193929872	0.013378701663916748	6.2077351572075452	0.9965529435280287	-0.013445997834157897	-0.017905026456599415
58.0	0.00075728965483490285	0.00099328334620440994	0.0031864600891827743	6.1713491077146729	1.0034517548313977	-0.01293820977068072	-0.012109420234073687
59.0	0.0018021341260718859	0.0016793739264591157	0.0089273974219612473	6.1968747704760689	0.9965529435280287	-0.0079695938292243529	0.0094532168136519656
60.0	0.001106209677501413	0.0013607486020399406	-0.003178864300416695	6.1676566475944403	0.9965529435280287	-0.0043437184311657662	-0.00026419563829671588
61.0	0.0029707033286935358	0.0014309724390813017	0.0056178635314835246	6.192145393158718	0.9965529435280287	-0.0014983879441288206	0.012195220181220989
62.0	-0.0013454933021265214	0.0003794013851116107	-0.014784811822258992	6.2195361388214172	0.9965529435280287	0.0015249722862867854	0.00051725597759910702
63.0	-0.00031164757999813109	-0.00089399970702686016	-0.0021752956163759718	6.2436407860404843	0.9999953016405736	0.004355670826673208	0.0010378900610935604
64.0	-0.0011168194105625195	-0.00069359877516528279	0.0056048742849146294	6.2413857235057391	0.9965529435280287	0.0068459030360972228	0.016576325252407265
65.0	-0.0021090445107244671	-0.0035968045103711432	-0.019392585876401469	6.2405909512844033	0.9965529435280287	0.00065937670633309242	-0.016194962287910952
66.0	-0.0070853899551255317	-0.0047578818963290859	-0.0036183901217495817	6.242689041649232	1.0034517548313977	-0.0050917885362004034	-0.022999812498843308
67.0	0.001822465047202515	0.00082520694667920225	0.019632787527243512	6.2085172834552589	0.9999953016405736	-0.0059459555159803168	-0.012294422393561044
68.0	-9.8972115662010474e-05	-0.00032616993149681139	-0.0073684963449723861	6.1559692055935216	0.9999953016405736	-0.0076328740495170688	-0.016484054438116735
69.0	0.00019635816204555123	-0.00022033552024713909	0.0085844674241892793	6.2120216871075487	0.9965529435280287	-0.0092841820088455096	-0.013517450545410981
70.0	-0.0027698342975461809	-0.0029034998051228333	-0.016357749712077818	6.2327500869263739	1.0034517548313977	-0.012567083199079954	-0.015090388435229807
71.0	-0.0012878083873476553	-0.00064879224641056776	0.0037911079305703588	6.1794524930633958	1.0034517548313977	-0.012321875738463661	-0.0091239848882834762
72.0	0.00010046767245508459	-0.0010373107935977011	0.0048465157519989033	6.2273480302177466	0.9999953016405736	-0.01266558775689608	-0.0098823434211992023
73.0	-0.0061412813772102615	-0.0055045071664663325	-0.021658556695119624	6.2328417164102632	0.9965529435280287	-0.014573290412991269	-0.012148314239917357
74.0	0.0010804578843669477	-0.00095257116866021008	0.009836958338574231	6.1809159265369793	0.9965529435280287	-0.010767979685322393	0.0013070342204064556
75.0	-0.0066229211027923895	-0.0028683212994529139	-0.0034532711005977879	6.2130477506852966	1.0034517548313977	-0.014461507931454509	-0.021779024407434844
76.0	-0.0010823092616218943	-0.003092698065546462	-0.0046289449298940744	6.2412910633030227	1.0034517548313977	-0.01722803606550416	-0.019039472992356532
77.0	-0.001979613315334583	-0.00040662419669224015	0.009138103160023392	6.2089269631473805	1.0034517548313977	-0.017414324741949261	-0.018485837256522419
78.0	-0.00088498482618426522	-0.0011183492822376406	-0.0078055017696101459	6.2018229182173794	0.9999953016405736	-0.015629174219064068	-0.0099335893140547471
79.0	0.0029392992282286645	0.00031116187267754558	0.0018511373360691197	6.1987753497659224	0.9965529435280287	-0.014669220099975955	-0.011873559908555986
80.0	-0.00052490915740099897	-0.00029801640387494555	-0.0064381843880552125	6.1795863154237152	0.9965529435280287	-0.013929925710253199	-0.023158260048610102
81.0	-0.0026367769134458818	0.0007637275795877585	0.0097344338905084316	6.141474788677626	0.9999953016405736	-0.0076616909641991082	0.0082347305370179535
82.0	0.0024011877982654806	0.0008587205185308644	0.0028472545029186724	6.1936706678277265	1.0034517548313977	-0.0058503992770080337	0.001245026701362395
83.0	-0.00053559062153918369	-0.0006837792129626985	-0.001481643035329383	6.1585954239492873	0.9999953016405736	-0.0036658571905178183	0.0032166547666307999
84.0	0.00091559214123526633	0.0028664339697845875	0.014312508427386739	6.1539093027558449	1.0034517548313977	0.0022932748448132312	0.022158108123911613
85.0	0.0041436424252698778	0.0021767307453579576	-0.0078566061669127496	6.165143894420579	0.9965529435280287	0.004876629786863429	0.0051633987969754713
86.0	0.00039554408845632327	-2.2008564728670521e-05	-0.0086076932589899124	6.196460887835328	0.9965529435280287	0.0059729705043723991	0.0043612073075957047
