time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	MrkvState
59.0	-0.01074382584686262	-0.011056682645861682	-0.0053594458175514337	63.243115952569326	1.0
60.0	-0.0098695725680613133	-0.0092208750797633243	-0.0002567285643344519	63.385300621964767	1.0
61.0	-0.0037429503582838697	-0.0076669850125403727	-0.0053202835361454426	63.536560937894734	1.0
62.0	-0.012482417817733293	-0.0080864895595362807	-0.01753654294921414	64.444900722987185	1.0
63.0	-0.0033552321272279917	-0.004839368051795967	-0.0079944579351990397	64.759285798610065	2.0
64.0	-0.0067718331455762781	-0.0056932469777599692	-0.0091549937659862746	65.563702096328001	2.0
65.0	-7.3470433045952355e-05	-0.0038650562453568238	0.0091878262324235349	65.110864595113725	2.0
66.0	-0.0090627552474394912	-0.0031310548818781481	-0.0071397765748542064	65.144708157826145	2.0
67.0	0.0043299915305414771	0.0017884595186214991	0.010497687462162619	64.613708917164075	3.0
68.0	0.0029740713794466078	0.0023950532479524167	0.0055004955743891415	64.097616488353054	3.0
69.0	0.0069287425978954431	0.0058667904992800723	-0.0045786924616652014	63.941502650834224	4.0
70.0	0.0036970614468089247	0.0033564122545713948	-0.0047364141630702461	64.229889663407022	4.0
71.0	-0.0023850494203720984	-0.00075650413457983845	0.0062997128087179943	63.675691629807801	3.0
72.0	0.0012092820312815666	-0.0016903689140744804	-0.0058144494747923714	64.069170847922166	3.0
73.0	-0.0029759805097315795	-0.0013531488274203252	-0.00075139662383771899	63.818200360333456	3.0
74.0	0.0076584781022036585	0.0024772633126515231	-0.0036621123716680248	63.772670731791621	4.0
75.0	-0.0024902983708928739	0.0070783735577968354	0.0057528473635698463	62.992943523857619	5.0
76.0	0.01105776813875492	0.0059342524722504342	0.011866143301014764	62.549973117259036	5.0
77.0	-0.00092558371778106441	0.0030832101915723165	-0.012631870119714672	62.995869630015314	5.0
78.0	0.0020768506188526548	0.001482116682680279	-0.0024499981652685854	62.946535051205601	5.0
79.0	0.0037803839236469905	-0.0029174761562567042	-0.0017609736256725128	62.531984040047227	4.0
80.0	-0.0030345278323655744	-0.002456287158204784	0.0032316207164106991	62.309466872263272	4.0
81.0	-0.015704536197605257	-0.0070382831772610732	-0.0082255688271806182	62.638878690799906	3.0
82.0	-0.00099124038991282859	-0.0049222487885686173	0.0072465831450551077	62.07164785575376	3.0
83.0	-0.0011015299734193906	-0.0014791915323545402	-0.011857327512307947	62.620312961374104	4.0
84.0	-0.0074109561323060236	-0.0024391971113975064	-0.0047586018887196824	62.855173554726207	4.0
85.0	-0.001402311303249526	-0.0064150246584907533	0.0020483889766965691	62.897091803700455	3.0
86.0	-0.0067293580620413351	-0.007793499264980519	0.0020170663575365122	62.441858383540904	2.0
87.0	-0.007743411989966309	-0.0073196630458680634	-0.0061480265269574508	62.934742162686113	2.0
88.0	-0.013993398149526937	-0.0086707661790107471	-0.006153236414202734	62.897255410522732	1.0
89.0	-0.00063675835274901171	-0.0081023522533945069	0.0017131188336382275	62.67944461243237	0.0
90.0	-0.0094078989803180191	-0.0073305869475775998	-0.0063610028770075822	63.093500000975197	0.0
91.0	-0.0052309265807436445	-0.0044934021257381218	-0.00097636176045767797	63.106878917340303	1.0
92.0	-0.0055541466651781723	-0.0038888085775817816	0.0018676317909532836	63.312952972815346	1.0
93.0	-0.0014319855257262093	-0.0049597404366797937	-0.013207945633122442	64.277949406973718	1.0
94.0	-0.0036940562084989415	-0.0041905671816873102	-0.0071418749769747158	64.273106691501027	1.0
95.0	-0.00872957393712126	-0.0053594280947140138	-0.015399233980945892	65.207611455164539	1.0
96.0	-0.0031684415477515326	-0.0045442623056540787	-0.0010864477678332873	65.180184877787198	1.0
97.0	-0.004467459514041372	-0.0062421307308614393	-0.0063575776505246928	65.735172964214385	0.0
98.0	-0.013848585960755555	-0.0071545347642671953	-0.0085074987845897843	66.800170694854231	0.0
99.0	-0.0012708454731299446	-0.0062573415063675863	-0.019749235632466222	67.732706870695637	1.0
100.0	-0.011962386988564777	-0.0070891352173091393	-0.010606015053087559	68.666538957394565	1.0
101.0	-0.0056951030170322436	-0.0080645391994987881	-0.0097451612607952764	69.020690890735779	0.0
102.0	-0.0028185436497999428	-0.006170154655644855	0.0037358987804204657	68.72224768562225	0.0
103.0	-0.0059328004835271786	-0.0044548487398597958	0.0026815598344293035	68.450544174792185	0.0
104.0	-0.005627488691862359	-0.005011942584189466	-0.012678030124036455	69.187085093593694	0.0
105.0	-0.0051231682779341314	-0.0053738290207699935	-0.0066068706396310573	69.7370881310014	0.0
106.0	-0.0024985110239732489	-0.0052521523461228625	-0.0054827177707074126	70.127523763917381	0.0
107.0	-0.0048757238123057212	-0.0045354797182483031	-0.0045137027154618092	70.164735725982624	0.0
108.0	-0.009384641623518486	-0.0057889058258313586	-0.017101034267988813	71.226332762933666	0.0
109.0	-0.0028981818570954498	-0.0054978405951880971	-0.0026611805459056947	71.4295631020332	0.0
110.0	-0.0077328708664146095	-0.0058948164680384663	-0.0099776132318474264	72.150595792932776	0.0
111.0	0.00056527277231288586	-0.0063540916756068544	-0.01296195123042676	72.855996698770696	0.0
112.0	-0.014905422611514063	-0.0073397604566144414	-0.016380835149880646	73.900275740033081	0.0
113.0	-0.0040730018327299611	-0.0050994944142265242	-0.0057263694301975532	73.928459260428127	1.0
114.0	-0.0046398539569881825	-0.0045530875458336117	-0.0015671439986797431	73.967590395453513	1.0
115.0	-0.0059683220768612655	-0.0057513785754302882	-0.0037488711105718719	74.126343712742937	0.0
116.0	-0.0025934827289683104	-0.0039896386263209571	-0.0045935083805395127	74.344399263413962	1.0
117.0	-0.0034189398898571977	-0.003736482292004184	0.00060500678599950675	74.405289374689502	1.0
118.0	-0.0058154226885970273	-0.0012630039671165383	-0.006241840135890131	74.682999751002995	2.0
119.0	0.0045225267555730753	0.0020065036606402575	-0.0062785479150267998	74.470061340206342	3.0
120.0	-0.005718272686486725	-0.0039197201178878815	-0.0076142889185819573	75.277992471836754	2.0
121.0	0.00056202484861922475	-0.0055908779443970547	-0.00046878516226489531	74.720833149626074	1.0
122.0	-0.0035331570151300173	-0.006491186422041717	-0.012942589077854394	75.642059419490749	1.0
123.0	-0.0082839313778573231	-0.0056797404815007724	-0.0025613357928818692	75.442931290185143	1.0
124.0	-0.0081740899033471148	-0.0056784226910698843	-0.0043960577949587742	75.807513119445758	1.0
125.0	-0.005016862364624064	-0.0066444214106996524	-0.018380336803446307	76.717712110545506	1.0
126.0	-0.0055251031269982764	-0.0034657407036686738	-0.0067306790493053548	76.561054189812666	2.0
127.0	0.0041366330240236726	0.00055098825845656396	0.006326968355329865	76.101007322951062	3.0
128.0	-0.0058124974186380962	-0.0034327623467331758	0.00077791142495498011	75.979696379885922	2.0
129.0	-0.0027690843172945012	-0.0006083298219634603	-0.011673530578536151	76.265240601711355	3.0
130.0	-0.0068387278915561511	-0.0046737177672599994	-0.0015322930657507561	76.114248514999019	2.0
131.0	-0.0049308721954623991	-0.0061091279676878107	0.0059652993007792698	75.541226476381695	1.0
132.0	-0.0034550893800950888	-0.0057505110432038986	-0.01413736797098275	75.695998970043448	1.0
133.0	-0.011339243704001301	-0.0076338449673333253	-0.0047491138319384341	76.154365958506617	0.0
134.0	-0.004593019492277306	-0.0070093733464542396	-0.0028627792145270448	76.275162382427794	0.0
135.0	-0.0002035145193610699	-0.0039619864059207144	-0.0035776744722972875	75.699982978682968	1.0
136.0	-0.0094632449999022539	-0.0063090833142394054	-0.0091592335254782054	76.374293803219842	0.0
137.0	-0.00019483590744839852	-0.0049023759225385044	-0.0012774783116424882	76.742085260741206	1.0
138.0	-0.0060965554353070717	-0.0048012617831314497	-0.0099148762520828715	76.914106402681	1.0
139.0	-0.010383398843060387	-0.006208399098086681	-0.0059983988361564933	77.024815195416522	0.0
140.0	-0.0084505166781840835	-0.005871382814823134	-0.0061666668868249896	77.135233416571324	0.0
141.0	-0.0029872332468461327	-0.0061429656130854715	-0.011081709471320034	77.589526339948492	0.0
142.0	-0.0065884473646884434	-0.0055469903124463205	0.0015465562957874823	77.497900274154318	0.0
143.0	-0.0022328152016000136	-0.0042989994080456784	0.001538209975456839	77.046464690802054	0.0
144.0	-0.001218093203896653	-0.0041942568429187421	-0.0027943287586065235	77.192174079417597	0.0
145.0	-0.011357283701985077	-0.0047691209238776011	-0.013219136353571637	77.669244102891327	0.0
146.0	-0.0039020711900945582	-0.0056694384907561846	-0.0091465484692290211	78.350796205175669	0.0
147.0	-0.0029445401760791468	-0.0046799037254730003	-0.0078843679746818385	78.907692129488154	1.0
148.0	0.00024705926964840863	-0.0016845532413252151	-0.0036295742335512582	78.756950382805144	2.0
149.0	-0.0030728711700110933	-0.0015705148977618322	-0.00014591377236583547	78.396598609510207	2.0
150.0	-0.0061957598753086263	-0.0059637209383220924	-0.016288137461109242	79.303547372896148	1.0
151.0	-0.0050403481257172977	-0.0072791146204747026	-0.0019539916817612468	79.379026382523094	0.0
152.0	-0.0095711807281997352	-0.007523061413422738	-0.012584876777057108	80.026512166659344	0.0
153.0	-0.0090714747094704506	-0.0073133887636256389	-0.010287180681545882	80.262472185198348	0.0
154.0	-0.005901579704111759	-0.0066098235525746674	-0.014430147406367722	81.156687154963407	1.0
155.0	-0.0079487352027216573	-0.0061092160825166886	-0.001701614214717484	81.072810267623296	1.0
156.0	-0.0032129828165037289	-0.0062302549583259648	0.005731184275012069	80.536002438014734	0.0
157.0	-0.0062025469806994415	-0.0071551744646554116	-0.024274849188702152	81.555887251228526	0.0
158.0	-0.016643477091582204	-0.0072044629192380416	-0.0028830317716119769	81.784611412497881	0.0
159.0	0.0053759596769218376	-0.0047264367181600875	-0.0014987366006062874	81.488678492334003	1.0
160.0	-0.0096566999492226913	-0.0065890492469287132	-0.013462433788970829	81.895385475555642	0.0
161.0	-0.0053467665072390869	-0.0065919759745549644	-0.0018686983720692663	82.130402373239662	0.0
