time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error
0.0	0.0068208373774756303	0.0083225324747926432	-0.0081236111651972198	23.629581947853715	0.9999953016405736	0.022528759853254421	0.0053974901407913833	0.024451133656847146	0.0017428489467531333
1.0	-0.0074272973171118917	-0.0019189255913851788	0.027772353077976319	23.67607996643471	1.0034517548313977	0.020605044149881069	0.026798698949932698	0.023943429141952688	-0.0037655227789736533
2.0	0.005671505502312213	0.0019264108143919323	0.002923916864360665	23.725432779452341	1.0034517548313977	0.023506548021028806	0.033838989992784896	0.020922330800292599	-2.0428091053495281e-05
3.0	0.0016108193980817198	7.6443901282585713e-05	0.03028672058282722	23.695694066346853	0.9965529435280287	0.022579025583527867	0.057462648337991196	0.025548594089984888	0.0015139474057456234
4.0	0.0014372413761378766	0.0047057494581939086	0.0027319365366915704	23.989004534991043	0.9965529435280287	0.022395798928893207	0.021556456560339665	0.020264708110327989	-0.0017545606763103906
5.0	0.0095801440697351747	0.0071786377903286791	-0.01799612701242248	24.213925642746521	0.9965529435280287	0.027962360866304214	0.026073626689155915	0.029270283050512935	0.00064694560309627963
6.0	-0.0070273457076388546	-0.006644889472307236	0.0058251945200367139	24.475995228543766	0.9999953016405736	0.015148633423717195	0.022372811704903572	0.019333382195115156	0.00026448936776459175
7.0	-0.00374235285352853	-0.0034883199875641591	-0.059875557737053109	24.24543915309399	0.9999953016405736	0.010157639387733175	-0.01645517433278032	0.0063800947177896639	1.0456501800202102e-05
8.0	-0.0030091142659951498	-0.0025732268427971494	0.034832188511987994	24.118429440189391	0.9999953016405736	-0.00073811992985661767	0.026500625344404893	-0.0042005965580433902	-0.00042543092139779435
9.0	0.0089564956848671162	0.0074759530293213583	-0.0079385845895676432	23.950053551877858	1.0034517548313977	0.0086567586908499194	-0.0092103123231390693	0.0056263980992363738	0.0010551117341480642
10.0	0.0046781583211230604	0.0028019488576687124	0.022531351364941887	23.836831565612552	0.9999953016405736	0.0095322967341266995	0.010397122177442153	0.0093059889324302869	0.0029313211976022867
11.0	-0.0027949435675480583	0.0024878569096211667	0.03436273298714565	23.813273046083236	0.9999953016405736	0.01194370974246528	0.014473134581760583	0.0071200474529793389	-0.0023514792795669469
12.0	0.0027539074516993445	-0.0021030647305395611	0.00019881152372236421	23.959942206712334	0.9999953016405736	0.0051348955537318108	0.011940009568791377	0.0050741494258756958	0.0025054929026719899
13.0	0.0042847523550746391	0.006233165019481568	-0.008578186277135913	23.899942066450897	0.9999953016405736	0.0041894227828846997	0.021357950304077944	0.00491618322563947	0.00055708023826498093
14.0	0.0046578627037703324	0.0041303205115577057	-0.031678210737379864	24.071789834392494	1.0034517548313977	0.014964632766749641	-0.016145454953338634	0.01164443153227146	0.001084622430477673
15.0	-0.0016796658437667755	0.0021744018502642959	0.043655861930781636	24.194143941604537	0.9999953016405736	0.020627354604578096	0.087385964714496112	0.01802561636000144	-0.0027694452635534271
16.0	0.0038784877894268988	0.00077976797048795454	0.010200951234175859	24.512020014325344	1.0034517548313977	0.0239803494178632	0.062754727436683977	0.023711710403372166	0.00032927455538561072
17.0	0.0034514586584362128	0.00016350994475655689	-0.029593990746416443	24.408422222345024	0.9999953016405736	0.016667906333298399	0.041099321279835177	0.016904906259826991	0.0036172232690651132
18.0	-0.0030596777367426498	0.0031885984155315406	0.010423004767942112	24.494029635884161	0.9965529435280287	0.017054555891161227	0.028990974682835402	0.018847699022341624	-0.0026310528832090762
19.0	0.00013124596455638127	0.0023191263567279297	-0.034166116662110335	24.47836842460757	1.0034517548313977	0.01688582533826799	-0.039537874966420583	0.019704209770053271	-0.0048189332753805075
20.0	0.0059820590767365456	0.0054110272194867193	-0.0032205400816893714	24.608098112875588	0.9965529435280287	0.024399917288294271	-0.042957226571832319	0.025978424890717555	-0.0042479014181306205
21.0	0.0068875854730945374	0.0019913774198068168	0.073601333374163858	24.60185445012986	0.9999953016405736	0.020158129688619519	0.039222293079467452	0.017771632166828866	0.00064830663515701896
22.0	0.0053606920112065914	0.00019778658904501256	-0.044651066534738382	24.636412572186753	1.0034517548313977	0.016225595766106826	0.026249437282108934	0.014948156788741507	0.0058112120573185592
23.0	-0.0061702043497462444	-0.0030969787111216895	0.0033341476481059118	24.688889012443767	0.9965529435280287	0.010954215204720841	-0.014072277000566791	0.012626568265028615	0.0027379864186941601
24.0	-0.0024545341853909886	-0.0037920595140277236	-0.021841846473223958	24.861889124189407	1.0034517548313977	0.0063823877202051627	-0.046115074707966608	0.0049143659402153261	0.00407551174733082
25.0	0.0065341853230889146	0.010368110063706526	0.056299084947160294	24.995646348488105	1.0034517548313977	0.016586987839155132	0.039778000985610129	0.013265209751677443	0.00024158700671327696
26.0	0.010331893609720311	0.0071671222575406812	-0.020340026281974399	25.050290883242624	1.0034517548313977	0.020565511681164272	0.0090149699356936175	0.019252464129066338	0.0034063583588927388
27.0	-0.002456360828019255	0.0016109204533356625	0.0021701356323011733	25.106633527159662	1.0034517548313977	0.019857305777772005	0.045351222230105126	0.015268734990369515	-0.00066092292246207188
28.0	0.0074462214956816375	0.0052911650868743276	0.01816250057482649	25.027383218792917	0.9965529435280287	0.019737443645159614	0.066734262886620987	0.01594227760325917	0.001494133486345098
29.0	0.00088773080384751957	0.0030332094260128173	-0.0046402626014254711	24.926158868527523	0.9965529435280287	0.020779275651365614	-0.011507333088968341	0.0197735966175554	-0.00065134513582002515
30.0	0.0023934749387706233	0.0030805762985726126	0.013587870395063151	25.027810762003821	0.9965529435280287	0.023662065360893214	0.046731603840833191	0.023114695884941083	-0.0013384464956221285
31.0	-0.00054010334496323864	-0.0022019069107204192	-0.035902430792395634	25.032812957125284	0.9965529435280287	0.024557137161294484	0.0074950254003316452	0.022998467662113997	0.00032335707013499745
32.0	-0.0013578778772127542	0.00012564695812056215	-0.052353034887396177	24.722698842370058	0.9965529435280287	0.02847484363344277	-0.023016163013840574	0.028086630796170464	-0.0011601677651981517
33.0	0.0033070413256872655	-0.0010413523100614164	0.043016684758594215	24.875161660201989	0.9965529435280287	0.017065381259674828	-0.036298563202406653	0.020301529817801756	0.0031882258705503803
34.0	-0.0025187333878440299	0.00019432307261690873	-0.022348299869535904	24.623864488161523	0.9965529435280287	0.010092582074751055	-0.038306836789968157	0.013219678887474551	0.00047516941008944071
35.0	0.00048807477292389656	-1.1907584997583598e-05	0.091606608179601867	24.63279719844763	0.9999953016405736	0.0084697540364178092	0.051129635757332537	0.0086738850846814763	0.00097515176801098473
36.0	0.0019930342812797264	0.0037908610951695731	-0.062009986335834322	24.793808666031243	0.9999953016405736	0.0069694500447130547	-0.029042851153328275	0.012629733863850356	-0.00082267504587875428
37.0	0.0051117669342002348	0.0012275712231124558	0.031014635848636729	25.040856051059965	1.0034517548313977	0.0051638118418126933	0.006612047296733925	0.0094638981036911929	0.0030615206652089724
38.0	0.0012964863564226548	0.0061415241125557518	-0.016250052167720908	25.225628966463837	0.9965529435280287	0.0082247596557958325	-0.023225875266050133	0.012090681825006611	-0.0017835170909241038
39.0	0.0017250952382954488	-0.0016671422328633501	0.0001368917704318573	25.24231741532617	1.0034517548313977	0.0087595243336529016	0.012813447296777358	0.010900418117496091	0.0016087203802345297
40.0	-0.0051733773226882995	-0.0027097223947751825	0.041662410529469396	25.388820010547022	0.9965529435280287	0.005924154980757157	0.10682889271364293	0.0086118916246256116	-0.00085493454767852418
41.0	0.0035571143015482587	0.0049912033379670984	-0.035390163245507589	25.417051466907751	1.0034517548313977	0.011956710628785672	0.028422044709541128	0.013962426601756395	-0.0022890235840973567
42.0	0.00070791215223153792	-0.00038879223393073481	0.0062792997788043703	25.28940539179813	0.9965529435280287	0.011373595322238028	0.057049644357881402	0.010917455098684581	-0.0011923191979350677
43.0	-0.0009172276847062566	-0.00014907988296264385	-0.0077409312310450229	25.489917506418667	0.9999953016405736	0.011236423024272968	-0.042297895052765488	0.013691036722955685	-0.0019604669996786876
44.0	0.0052618610566688151	0.0038196531822709545	0.015069399317009236	25.725068957525192	0.9999953016405736	0.011265215111374349	0.034781490600078069	0.010479778608324386	-0.00051825912528083993
45.0	0.004589714560008451	0.0048978046520387064	0.012895922864010423	25.986498435937285	1.0034517548313977	0.0149354485403006	0.016662777615451763	0.016588346031279677	-0.00082634921731116558
46.0	0.00068820171621131188	-0.00089878085421779552	0.0079018195982989425	26.09644002052654	1.0034517548313977	0.0078951435735270525	0.040814649381471613	0.0089601096873701547	0.00076063335311803994
47.0	0.0027275853502091163	0.0021111675522091922	-0.011719294337209085	26.345914468623999	0.9999953016405736	0.011673453358599595	0.02895846327383067	0.014006343981191938	0.001377051151117927
48.0	-0.0035079935062036771	-0.0017717381143547151	0.0077135650854731619	26.443424809863092	1.0034517548313977	0.012611437639020062	-0.0049903821701655637	0.010669199165823207	-0.00035920424073097819
49.0	0.0056200180145755674	0.0053239347246922808	0.006614301098074149	26.72905048562399	0.9999953016405736	0.012944169025745245	0.037014082173416174	0.011584031343832457	-6.3120950847672333e-05
