time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY	Delta8LogC_me	Measurement_Error	MrkvState	R
0.0	-0.00043567134444390254	0.00065690331479345554	0.0036998565383865589	22.025433215776804	0.9965529435280287	0.0091610836094893622	0.030890124391631191	0.008167177741525089	0.001268028774618317	7.0	1.0344999799363719
1.0	-0.0029536074761377512	0.0010540684974616327	-0.0027405168846386108	22.152323555296476	0.9999953016405736	0.0089358997506827909	0.022542637341945615	0.010343824612837366	-0.0027396471989810651	6.0	1.0342694926136693
2.0	-0.00020374497475378339	-0.0029285294931137851	0.00022190880911199251	22.16833846782982	0.9965529435280287	0.004791383072581451	0.016366728851559237	0.011657190598437242	-1.4862680621067115e-05	6.0	1.034246548110495
3.0	0.0017016557251608166	0.00058530408456959615	0.011427962708922629	22.060984062212853	0.9965529435280287	0.0037598819063793254	0.023472176325607663	0.0023107601516579729	0.0011014889599701631	6.0	1.0344008762515371
4.0	-0.0028381614901332314	-0.0004601227588704182	-0.0051242117621007055	22.246141215654539	0.9999953016405736	0.0046600543934148947	0.012576466591233931	0.0023197716559280879	-0.0012765497712926509	5.0	1.034088018543472
5.0	-0.0039589640880589583	-0.0057062061943742026	-0.0066101203757336913	22.155658497287607	0.9999953016405736	-0.0028295412212247795	-0.0034608690296344391	-0.00071920340756871648	0.00047069233502258404	6.0	1.0342647124129689
6.0	0.003096310331981128	0.0033745705405529985	0.0066720818092309286	22.194028870840157	0.9965529435280287	-0.0010185767985398941	0.014240314631267986	0.00069808714326993759	0.00019243212645072321	6.0	1.0342097982944205
7.0	0.0014312443527431801	0.0016160687371751664	-0.0057726134715198052	22.366170774294481	1.0034517548313977	-0.0018079432718055566	0.0017743473716592961	-0.00053895516735656679	7.607742018725043e-06	5.0	1.033918054761229
8.0	-0.0026567481889314543	-0.0023396135364195519	0.0031740415470024597	22.588187233988833	1.0034517548313977	-0.0048044601230185641	0.0012485323802751969	-0.0067337065765858961	-0.00030952691049317805	4.0	1.0335605736007543
9.0	-0.0025635379214421494	-0.0036407228907875538	0.0062497497896946419	22.559993900875778	1.0034517548313977	-0.0094992515112677506	0.01023879905460845	-0.0097777386649927911	0.00076765805885223781	5.0	1.0336467332855921
10.0	0.0021034711905470044	0.00073841451635656141	-0.0020004470679193531	22.646107818529071	0.9965529435280287	-0.0058323075017974041	0.0080164431775771039	-0.0096779051037917813	0.0021327147330426803	5.0	1.0335274106115919
11.0	-0.0033443981546412566	0.00049916099493248212	-0.0045258707429689793	22.875800827846465	1.0034517548313977	-0.0059184505914345181	-0.0079373902743145042	-0.005819289472326683	-0.0017108444165310612	4.0	1.0331661148133071
12.0	-0.00014811647803009143	-0.0036818596036597012	-0.0028393977898288625	23.144343994345189	0.9999953016405736	-0.0091401874362238011	-0.0056525763020426611	-0.006369084996650301	0.0018228987090985497	4.0	1.0328050837919636
13.0	-0.0036909075660850471	-0.002273318664934687	-0.0053853154578205331	23.246225395088938	0.9965529435280287	-0.0057072999067842856	-0.004427771384129503	-0.012380389057431204	0.00040530980794819356	4.0	1.0326699057542286
14.0	-0.0041284047128230389	-0.0045122237929545311	-0.0090220712379135287	23.497253557710451	0.9965529435280287	-0.013594094240291815	-0.02012192443127396	-0.012403305271190379	0.00078912888807968168	3.0	1.0322950811804736
15.0	-0.0056891418048960196	-0.0028850727864864062	0.00096703530184193143	23.633544426923141	0.9999953016405736	-0.018095235763953388	-0.013382275657912224	-0.020443260341811209	-0.0020149401303299385	3.0	1.0321190514230836
16.0	7.9242909246463045e-05	-0.0021752645179260593	-0.0023987520118719935	23.76969036539478	1.0034517548313977	-0.017930886745459895	-0.018955069216786677	-0.019803733694970058	0.00023956729684259225	3.0	1.0319448632121566
17.0	-0.0011180066955147755	-0.0035101896705121149	-0.0011274578383321243	24.078189707995733	1.0034517548313977	-0.017800353525184456	-0.026332276844813443	-0.018822954207486503	0.0026317502718399325	2.0	1.0315109727919316
18.0	-0.010382804900764986	-0.0058368033854842988	0.0033759690320898789	24.284546002556912	0.9965529435280287	-0.024375571427025317	-0.020955860744804211	-0.021183994092327948	-0.0019142512434407546	2.0	1.0312557357552254
19.0	-0.003967907200111323	-0.0023760909398066188	-0.0064785146236729096	24.312195695015927	1.0034517548313977	-0.027250823361764417	-0.022908504625508141	-0.027777866645997712	-0.0035060675037454692	3.0	1.0312667053135085
20.0	-0.00049166620078752721	-0.00090712666141179454	-0.0057430367157980666	24.627075394606749	1.0034517548313977	-0.024476090419516511	-0.025812143551477346	-0.023445930265200601	-0.0030906070431211902	2.0	1.0308398294425054
