time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
1.600000000000000000e+01;4.031714861830459906e-04;-4.018125899199628814e-03;-3.791033701629725750e-03;2.444934884148352694e+00;-1.612598130028328192e-03;-3.981969323734929622e-03;-3.791033701629725750e-03;2.392650613728763975e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008929155189091320e+00
1.700000000000000000e+01;7.041344371437885385e-03;2.350052515292952449e-03;3.147903917020411502e-04;2.445533148171885607e+00;-5.746587621430349069e-04;-3.088719866010183890e-03;3.147903917019023723e-04;2.397673026216326608e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006195749283862906e+00
1.800000000000000000e+01;-1.788101066141375983e-02;-8.965881630917063583e-03;-1.059331086231724006e-02;2.462960541666695313e+00;-1.004637187427930012e-02;-5.268758411119789375e-03;-1.059331086231712904e-02;2.403909184497770468e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008294722682636424e+00
1.900000000000000000e+01;-6.018802258832500751e-03;-2.897103485579199944e-03;6.049490208334118435e-04;2.491894566215302032e+00;-4.636905747078173823e-03;-2.963988839649794871e-03;6.049490208331620433e-04;2.423709599451689289e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.009606399733119941e+00
2.000000000000000000e+01;5.304711143102242010e-03;4.489954790495437331e-03;-9.855300918214515704e-04;2.501535510950622321e+00;-5.145779358954882809e-04;-9.512054828545168927e-04;-9.855300918214515704e-04;2.440768082928918670e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006412977137454146e+00
2.100000000000000000e+01;9.987243589222316587e-04;-5.987254732179397854e-03;-2.887336950682467540e-03;2.515739928793807589e+00;-3.135426817287012558e-04;-4.057325597805971906e-03;-2.887336950682189984e-03;2.454425546732644126e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.005595768083610508e+00
2.200000000000000000e+01;1.234228713373158870e-02;4.975780454274353337e-03;1.584464487959263979e-03;2.505912377725534768e+00;2.645008201416193527e-03;-1.302699270661566988e-03;1.584464487958958667e-03;2.460780226030757412e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.000755185189797780e+00
2.300000000000000000e+01;2.902151835659769197e-03;7.287073762997281490e-03;4.406199508001973353e-03;2.498498842020775434e+00;4.051424542501069759e-04;2.755020057062962380e-03;4.406199508002139886e-03;2.467305593554224963e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.986396209055463657e-01
2.400000000000000000e+01;5.786504150919510869e-03;3.878104042513097482e-03;-1.178006914144796857e-03;2.471516350455988054e+00;9.743716233083510314e-04;-4.833909908591449422e-05;-1.178006914144963391e-03;2.459920213073560458e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.959841191174575448e-01
2.500000000000000000e+01;-1.359781207099408640e-02;-8.127513876286657224e-03;-8.322005721236869213e-03;2.483987709061535210e+00;-2.164506383135172962e-03;7.670238519437988511e-04;-8.322005721236591658e-03;2.469357378766263711e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.988367930790656990e-01
2.600000000000000000e+01;1.155985023210638618e-02;7.044309582317678786e-03;1.253595351296082905e-02;2.468669879924437982e+00;5.105371429399291339e-03;2.685495314530245148e-03;1.253595351296057925e-02;2.466991874770128490e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.971132727545251040e-01
2.700000000000000000e+01;-1.002762820586282355e-02;-4.224373589242783056e-03;-1.290548178228989595e-03;2.462143814009844167e+00;-9.860122159460193991e-04;2.123949209364012214e-03;-1.290548178228878573e-03;2.460836300067492211e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.978862003946820103e-01
2.800000000000000000e+01;1.040049173713343544e-02;7.325626688871780812e-03;3.194170408578389520e-03;2.461373703298077587e+00;4.446802057627485816e-03;2.798983321440906558e-03;3.194170408578556053e-03;2.469432740050277353e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.969308119204193241e-01
2.900000000000000000e+01;-1.153483784512220056e-02;-8.473638518678758280e-03;-1.583276033468777877e-03;2.473630888639596570e+00;-1.857728950626191811e-03;-2.172336683480269315e-04;-1.583276033468916655e-03;2.471013547193724680e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000627169155400065e+00
3.000000000000000000e+01;8.133997545317739331e-03;9.114363510326489726e-03;-2.791353575366861683e-03;2.451869030254542281e+00;1.478736120101520335e-03;2.004113780618488327e-03;-2.791353575367000461e-03;2.464630445031585015e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.967076301176833741e-01
