time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	MrkvState	R
0.0	-0.00030613013566707648	0.0011988029428716407	-0.0051367711318436593	22.249779816112859	7.0	1.0341777036708824
1.0	-0.0050713720218703018	0.00044887695127043825	0.011508619375598772	22.395255125425603	6.0	1.0339243409071011
2.0	0.0046737865041669713	0.00092061657760789117	0.0012877388930354339	22.421243144786086	6.0	1.0338877811437273
3.0	0.0021945525501647911	0.00065686860609509568	-0.00093068173856919456	22.288402135439146	6.0	1.034075395126743
4.0	-0.0027454225923231323	0.00053013310400040758	0.0066371039744322069	22.48081524377719	5.0	1.0337571072460372
5.0	0.0024748976214525042	6.8213172222358898e-05	0.00074744206677709868	22.399358997979675	6.0	1.0339185629829788
6.0	0.0001811503388440272	0.00056443123299654285	0.0043112660896561794	22.449196937231395	6.0	1.0338485334450855
7.0	0.00050119877013501957	0.0007557793862060791	-0.0094012382894299584	22.626677102925175	5.0	1.0335542694666304
8.0	-0.0032907347319880986	-0.0028539074407079035	-0.0012037093842751923	22.843999527137342	4.0	1.0332093292019675
9.0	0.0013606498276688417	-0.00012308519983417199	0.020909199693625841	22.83943244187703	5.0	1.0332622236329034
10.0	0.0023310292018301482	0.00045077422273040457	-0.010176761251382366	22.928495376885124	5.0	1.0331412893572884
11.0	-0.005795893150570719	-0.00050170180665717878	-0.0018499863179374243	23.173014067496247	4.0	1.0327669452966277
12.0	0.0022095342639603943	-0.0026579106066088876	-0.010536497611834811	23.432871640363341	4.0	1.0324247636622159
13.0	-0.0041385623779266328	-0.0021859485120699074	0.0057831909008213001	23.55466312840597	4.0	1.0322665216081837
14.0	-0.0011966857263139979	-0.0017253654142241892	-0.012596214639068709	23.810060109931367	3.0	1.0318935273981107
15.0	-0.011051272113269742	-0.007188894211098848	-0.007665947420200353	23.93696387443407	3.0	1.0317330767988628
16.0	0.0021214332040176281	-0.00098396812876772044	0.02516756941522677	24.137777308577817	3.0	1.0314820090120302
17.0	0.0020250209406132702	-0.0012700173055635311	-0.0036763209404890862	24.50091543280389	2.0	1.030991905948851
18.0	-0.01074579893028503	-0.0044840501357371471	-0.017853960414278974	24.696680411251716	2.0	1.030756471463889
19.0	-0.0066510276091205911	-0.0044584296709984095	0.0030190324520751877	24.743138889902024	3.0	1.0307454441790667
20.0	0.00035237693378099844	-0.00021988619234243612	0.0058096574922560373	25.113061387410458	2.0	1.0302657495869976
21.0	0.0020714406596187007	-0.0028353246830703505	-0.01937906772073375	25.303389409417761	2.0	1.0300458589405632
22.0	0.0021210479631812856	-0.0030529898059108995	-0.00052164087650988233	25.501873266236498	2.0	1.0298194165242542
23.0	-0.002002998105145537	0.0010768540763278628	0.019857091397131321	25.578678564744553	3.0	1.0297760292724827
24.0	0.0036931835919464251	0.0023527742678131625	-0.018895905773097327	25.556036768293861	4.0	1.0298450764332283
25.0	0.0023299532648238253	0.0061721447809928581	0.0024144191746000854	25.48469710351446	5.0	1.0299695234252746
26.0	0.0094646202218808956	0.0062930249343844252	0.010616997321645033	25.563740986186236	5.0	1.0298797909905641
27.0	0.0010938070975697045	0.0051698583219287469	-0.0069727152103474799	25.785829575217907	4.0	1.0295868958182248
28.0	0.0029573136559110647	0.00079761047679990926	0.0058584003686115438	25.706308033156354	5.0	1.0297190906773159
29.0	0.0029732987446172976	0.0051234034852954136	0.013593336079177537	25.968784030502068	4.0	1.0293840225328392
30.0	0.00047823004022297388	0.001166812939989173	-0.0051945956690585271	26.074176545259981	4.0	1.0292682163321671
31.0	0.0032517693500761918	0.0015863825744184545	0.0033652774387228912	26.366261858693928	3.0	1.0289086397326632
32.0	-0.0028619066611082766	-0.0013751830235897711	-0.0048595288409605808	26.325408415211598	4.0	1.0289952313864705
33.0	0.0058759580275512813	0.0015181883094254889	0.0062776328016360128	26.258887205031808	5.0	1.029109788103088
34.0	0.002738610489789628	0.0054575168900210524	-0.008854222046470267	26.112185307298049	5.0	1.0292694862405969
35.0	0.0041017432053102598	0.0036006827766877081	0.0011047106867074774	26.1390916603332	5.0	1.0292400862185005
36.0	0.0013076590575584746	0.0031093623770544476	0.0050476468437120336	26.352719854564132	5.0	1.0290084079663135
37.0	0.0044529911533291167	0.00056042027154454277	-0.0069888663071853152	26.546100732694569	5.0	1.0288013280592723
38.0	-0.0056304953182634288	-0.00077501060701826163	-0.0070875824286427691	26.722530548401547	4.0	1.0285723294021925
39.0	0.0019954364851052508	-0.0014041153877927537	0.0186533159898567	26.814190506085424	4.0	1.0284761801075666
40.0	-0.0088479887963934245	-0.0063790216926544741	-0.02345278975030432	27.041705652090418	3.0	1.028197914083226
41.0	-0.0066923139485328409	-0.0052551327042625329	-0.013160628009319733	27.289124098904892	3.0	1.0279448100005786
42.0	-0.0039614095007060729	-0.0050604786200387081	0.0010674378512432608	27.367505206232853	3.0	1.0278654111268162
43.0	-0.0022752777886064779	-0.0015054736931437579	0.013131526259468729	27.300072406139702	3.0	1.0279336970708921
44.0	-0.0034225884100875653	-0.0048679059983172818	-0.02136800624357095	27.562502299753817	2.0	1.0276280561700926
45.0	-0.0046115599956260689	-0.0043028055943531845	0.0098491881733967918	27.719423712827091	2.0	1.0274721847755246
46.0	-0.021279948649750843	-0.022870353099742488	-0.029902386755955357	27.856169029943505	2.0	1.0273375297683651
47.0	0.0021663907454109316	0.0015486438165785987	-0.0025452031834487104	27.789272341185679	3.0	1.0274444854125173
48.0	-0.0024168342896902645	-0.00067683515361173507	0.0082611804710762543	27.898349361813338	3.0	1.0273373268649297
49.0	0.0011751125435282145	0.00087839083367904913	0.00058314455577486435	27.814323047308413	4.0	1.0274609856016488
50.0	0.0026368859550446322	0.0018677030300679603	-0.00061375142902188318	28.066376526791917	4.0	1.0272145269339297
51.0	-0.0011074385208987292	0.00091679328350903477	-0.012261398169367527	28.282271119364339	3.0	1.0269655588539697
52.0	-5.2846353337160368e-05	-0.0031003757459522052	-0.0026654000578784642	28.347906712395652	3.0	1.0269028284902275
53.0	-0.0028525273343402574	-0.0031798938189871589	-0.0040526259203755161	28.607771304223057	3.0	1.0266567863602296
54.0	-0.0035311113843722736	-0.0019716360478927858	0.0053540142999851797	28.495760048820234	4.0	1.0268029267648626
55.0	0.0044716947161677484	-0.00087870767785767911	-0.0062307341614510903	28.719596991892022	3.0	1.0265520335578129
56.0	-0.0076971541739682403	-0.0040899380552682912	-0.0095889784336649769	28.972654124816337	3.0	1.0263174332886276
57.0	-0.0068098048265746725	-0.0042953509472817841	-0.0053301104226954124	28.824533535764004	4.0	1.0264945825931784
58.0	0.0016035205600131719	0.0022137593798423061	0.0051241223158886087	28.642395491001452	4.0	1.0266646858964654
59.0	0.00088189100238941776	0.00056445438406731163	0.0017838962678513454	28.662068365012505	4.0	1.0266462275320585
60.0	0.00018553685943750731	0.00084373044084017079	0.0027168234924625778	28.489831584097793	4.0	1.0268085403714651
61.0	0.0044741204027206743	0.00049264295102025013	-0.00063183715200330892	28.511506582121914	4.0	1.0267880258184052
62.0	-0.0045843625789148412	-0.0001240836106037313	-0.0071714060306526939	28.710014082430312	3.0	1.0265609841367578
63.0	-0.0041404635581117621	-0.0056463253150961096	-0.010595268246313141	28.939156707609712	2.0	1.0263081327553363
64.0	-0.0087422433271659578	-0.0076478680513975689	-0.0044125810014230687	29.023072654877996	2.0	1.0262310059572404
65.0	-0.0025399804884467664	-0.0063870702182807909	-0.0076954963415355043	29.305010201416611	1.0	1.0259346730650478
66.0	-0.014747013976600928	-0.0087284811815074789	-0.0070968285047348853	29.639485690005287	0.0	1.0255963020376107
67.0	-0.0059860241540409184	-0.0085647609109292047	-0.0040819773790394843	29.625089951382023	1.0	1.0256486418543453
68.0	-0.0041856045710640388	-0.0047730987799057059	0.002101388525044167	29.586200914440511	2.0	1.0257227417395705
69.0	-0.0036082842945487359	-0.0046857819998344444	-0.0099375081467245954	29.897346815549703	1.0	1.0254093058719254
70.0	-0.0056996976088978593	-0.0060453334651874302	-0.014558324412583406	30.232471255044956	0.0	1.0250804708480807
71.0	-0.0069917769897781985	-0.0053393919050996642	0.0092599000781728759	30.241056307981562	1.0	1.0251122134226254
72.0	-0.0026427737914243819	-0.0055848718802406928	-0.018376023379818543	30.585823986662831	1.0	1.0248197181331371
73.0	-0.007190649691096139	-0.0055440618496715791	-0.0066537476857781701	30.931430810967882	0.0	1.0244933600468829
74.0	0.00031740464878177513	-0.0049396564311050542	0.0034553523136357815	30.923944637294948	0.0	1.0244995328167605
75.0	-0.01588432872133869	-0.00617558379843847	-0.017497073170180601	31.31240518779072	0.0	1.0241824257047143
76.0	-0.0016575257071654191	-0.0068560430233909585	-0.011505301952022266	31.692202091289726	0.0	1.0238785671844606
77.0	-0.010015377477620442	-0.005947900004838285	0.0036112645579727751	31.66572112018558	1.0	1.0239375132826587
