time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
1.200000000000000000e+01;2.304908583623352381e-02;1.456344150294376638e-02;5.521059383563377276e-02;2.417401724149697451e+00;1.171005676276801188e-02;5.495361856564726089e-03;5.521059383563416134e-02;2.411447325011450538e+00;2.000000000000000000e+00;1.003451754831397702e+00;1.002422977018410766e+00
1.300000000000000000e+01;-1.000357822831167420e-02;-6.599495136154903685e-03;-5.109731914614658310e-02;2.415260859020592399e+00;-4.435226877027312331e-03;-1.942153042890110148e-03;-5.109731914614672188e-02;2.403287026991217878e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.002931158406692669e+00
1.400000000000000000e+01;-1.453978222698931733e-02;-1.546145425762000813e-02;-1.059990897622579142e-01;2.350196850096765822e+00;-1.063008821615692157e-02;-1.130510006546098234e-02;-1.059990897622579975e-01;2.319843969880242440e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.006953397605255596e+00
1.500000000000000000e+01;-1.697395866240200557e-02;-1.024049459036888154e-02;-2.407102597171639768e-03;2.274323787933508978e+00;-1.701005427638414835e-02;-1.207861675367291610e-02;-2.407102597171639768e-03;2.237527276705998602e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.006942242732071557e+00
1.600000000000000000e+01;-1.502651900531670748e-03;-6.916443309135461570e-03;4.271943474008124686e-02;2.260254759214840092e+00;-2.993251083096531984e-03;-6.958190051644302931e-03;4.271943474008127462e-02;2.211921703617687474e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008929155189091320e+00
1.700000000000000000e+01;7.549202746480770942e-03;1.804808435883653583e-03;2.622105693831333628e-02;2.252434467901302195e+00;6.566412581482106159e-04;-3.550423834273702672e-03;2.622105693831336404e-02;2.208293013984527597e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006195749283862906e+00
1.800000000000000000e+01;-2.653603344292956856e-02;-1.561963385590664499e-02;-8.301004585063950780e-02;2.199150117224814238e+00;-2.016804283734477399e-02;-1.217311749721447511e-02;-8.301004585063945229e-02;2.145361306915330779e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008294722682636424e+00
1.900000000000000000e+01;-2.348772121349707032e-03;1.473686430016163396e-03;1.172881137543609342e-01;2.263670117945498550e+00;-1.263847690292363435e-03;1.535634912949945807e-03;1.172881137543606289e-01;2.201149441945424279e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.009606399733119941e+00
2.000000000000000000e+01;7.094070097112742390e-03;6.096417019889055489e-03;-2.312190336764094467e-02;2.286888182523765245e+00;1.546676448647227309e-03;8.160177910770116672e-04;-2.312190336764083365e-02;2.231132532322933848e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.006412977137454146e+00
2.100000000000000000e+01;6.058667602039019551e-03;-2.495525949639004759e-03;1.924903632513730312e-02;2.332650163528601883e+00;5.736249774608431773e-03;-5.286490361670337368e-04;1.924903632513733087e-02;2.276162227955176309e+00;0.000000000000000000e+00;9.999953016405735973e-01;1.005595768083610508e+00
2.200000000000000000e+01;1.485273163498015969e-02;5.832589559824075121e-03;-2.055190878786053443e-02;2.333091271672050215e+00;6.285970270901108936e-03;-3.201787504272246565e-04;-2.055190878786056219e-02;2.291830167456092138e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.000755185189797780e+00
2.300000000000000000e+01;6.861968809324769936e-03;1.223121918730254998e-02;5.248189446349454945e-02;2.380104014139593271e+00;3.918639310174276691e-03;7.850957430466293241e-03;5.248189446349448006e-02;2.352266475690786063e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.986396209055463657e-01
2.400000000000000000e+01;6.496429530978897748e-03;4.159631254249784860e-03;-4.925370186963726193e-02;2.358685141021602760e+00;2.001498029222947839e-03;2.900795703746905652e-04;-4.925370186963730357e-02;2.349814508684383796e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.959841191174575448e-01
2.500000000000000000e+01;-2.220788885344210373e-02;-1.550961665240932486e-02;-1.028687971789450095e-01;2.293320097832065141e+00;-1.164069089480013197e-02;-6.735027106275159881e-03;-1.028687971789447042e-01;2.281468561074465828e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.988367930790656990e-01
2.600000000000000000e+01;2.213419300398934697e-02;1.660500257770203270e-02;2.023503113094367589e-01;2.380006826519305285e+00;1.637810190405511457e-02;1.232864729247418190e-02;2.023503113094366479e-01;2.380818014255779769e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.971132727545251040e-01
2.700000000000000000e+01;-9.162008209244829060e-03;-2.056037439382596421e-03;-7.442174124117723055e-02;2.397266677369675580e+00;-9.546109207376196615e-04;4.249642122704705427e-03;-7.442174124117727219e-02;2.398387116812473963e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.978862003946820103e-01
2.800000000000000000e+01;1.525247962089407161e-02;1.148736804167056758e-02;2.913349208825119496e-02;2.443413241835269645e+00;9.713222941770904839e-03;6.955739970101737502e-03;2.913349208825120884e-02;2.453821737704925177e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.969308119204193241e-01
2.900000000000000000e+01;-4.661561928002239119e-03;-9.131837554969546300e-04;4.560859534980669927e-02;2.545560238506863637e+00;4.612478928433041969e-03;7.357706729674284851e-03;4.560859534980671315e-02;2.545116365524136004e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000627169155400065e+00
3.000000000000000000e+01;-1.033029781959127202e-04;1.097135801651633047e-03;-1.926057113718429581e-01;2.433086450235836029e+00;-6.922660965593283033e-03;-6.043486623927785129e-03;-1.926057113718429581e-01;2.447845439202905204e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.967076301176833741e-01
3.100000000000000000e+01;-8.800950781134297962e-03;-1.170429745097402441e-02;4.700635418977014424e-02;2.390514781944685918e+00;-1.649297627147050527e-03;-3.775643376663084805e-03;4.700635418977003321e-02;2.393358518105493715e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.000642842786853448e+00
3.200000000000000000e+01;-1.824296338709510690e-02;-1.565108852351779212e-02;-5.380332621731490073e-02;2.329671463620023530e+00;-1.137385393451600946e-02;-9.475623124982929246e-03;-5.380332621731495624e-02;2.314265968136593798e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.004797347647838013e+00
3.300000000000000000e+01;1.266966442813044491e-04;-7.470407154055336285e-03;6.966205865949995357e-02;2.343806101723608926e+00;1.290136139227848755e-03;-4.273811679348288317e-03;6.966205865950003684e-02;2.306800054732889294e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008932169314480598e+00
3.400000000000000000e+01;1.133926193471407329e-02;1.607925864785006431e-02;1.275094912534447400e-01;2.442907173162085943e+00;4.984515149674240142e-03;8.455982049716509463e-03;1.275094912534446290e-01;2.410351459335635660e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.004759217064009391e+00
3.500000000000000000e+01;2.724131469837687280e-03;1.850609385903090320e-03;-1.950169684969810246e-01;2.342353287853879085e+00;-5.733574083880144112e-03;-6.373321996031883208e-03;-1.950169684969809136e-01;2.325101437475076693e+00;2.000000000000000000e+00;1.003451754831397702e+00;1.000041212287575476e+00
3.600000000000000000e+01;6.752256550700608262e-03;9.893250228059369267e-03;1.048792546317372509e-01;2.330555587540146689e+00;1.351901396849736203e-03;3.652294465472549767e-03;1.048792546317371677e-01;2.334280287159519407e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.953990372511616336e-01
3.700000000000000000e+01;-1.003953304038324168e-02;-1.682563394615091412e-02;-1.028129423165354828e-01;2.261252051468833457e+00;-3.232520091638657611e-03;-8.202507646573792277e-03;-1.028129423165355660e-01;2.258131605163442135e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.989857692092155572e-01
3.800000000000000000e+01;7.627084691714414166e-03;1.609187831977951233e-02;1.558274675273694787e-01;2.300869261976348668e+00;3.631298040548902595e-03;9.830722359574495250e-03;1.558274675273697285e-01;2.314571227470796799e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.952262445339454811e-01
3.900000000000000000e+01;3.880177126919542863e-03;-2.046420678102511825e-03;-2.419415600238575270e-03;2.362236770220902837e+00;1.065489922628101715e-02;6.314392395763535060e-03;-2.419415600238575270e-03;2.366178610204932031e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.992919942682976231e-01
4.000000000000000000e+01;-2.100124886741872032e-02;-1.669698302157443526e-02;-1.555689813838924684e-01;2.297553122964808736e+00;-1.318402421846448513e-02;-1.003167679775390786e-02;-1.555689813838925795e-01;2.284165297832743136e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.003606418883240314e+00
4.100000000000000000e+01;-7.970632535958366294e-03;-5.465127244035777876e-03;9.387923613601809048e-02;2.325121684037035674e+00;-3.488376732052711482e-03;-1.653401052705560925e-03;9.387923613601778516e-02;2.290433272966431844e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007873618093652945e+00
4.200000000000000000e+01;5.249657146976755007e-03;3.333598538742738038e-03;-4.682050694992570539e-02;2.285707381542755545e+00;-3.051797195382843775e-03;-4.455075391460894263e-03;-4.682050694992562212e-02;2.257257280195239524e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.003872859517053406e+00
4.300000000000000000e+01;1.813039404567629020e-02;1.947242953536484911e-02;1.550299626396546837e-01;2.385264610767336091e+00;1.087587309452425766e-02;1.185874967927477708e-02;1.550299626396548225e-01;2.371323849348691226e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.993524747499422656e-01
4.400000000000000000e+01;1.158331512507632111e-03;-1.361358248443106378e-03;-4.863301235260117372e-03;2.498870844849981232e+00;7.794493436407201603e-03;5.949129371222272589e-03;-4.863301235259992472e-03;2.473493749229476624e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.002734609002719157e+00
4.500000000000000000e+01;1.157145445514841386e-02;1.210972044586997032e-02;-7.111327261214261952e-02;2.506115753916895006e+00;4.062014265644453559e-03;4.456228161411487920e-03;-7.111327261214281381e-02;2.496087555853040651e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.985005903437046415e-01
4.600000000000000000e+01;2.101625820625657726e-02;1.824363173229055779e-02;8.343139580337198546e-02;2.579074833564624303e+00;1.399517489071573639e-02;1.196456567027474882e-02;8.343139580337206873e-02;2.592061968312067588e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.942244429098815450e-01
4.700000000000000000e+01;-8.419589272976688021e-03;-9.496536391114293596e-03;-1.253631219785533712e-01;2.551252187117305947e+00;4.968061455144640037e-04;-2.919256827903504714e-04;-1.253631219785534823e-01;2.555774614464558780e+00;2.000000000000000000e+00;9.965529435280287007e-01;9.981450431811518254e-01
4.800000000000000000e+01;1.398138578604232740e-02;1.701480767403733274e-02;1.300817791209563645e-01;2.616089937186971692e+00;8.151751944600160726e-03;1.037336185602800998e-02;1.300817791209565033e-01;2.639679827731661099e+00;3.000000000000000000e+00;1.003451754831397702e+00;9.945276856916037689e-01
4.900000000000000000e+01;-3.984246504433811009e-03;-4.501535341328466444e-03;-9.659769745772943395e-02;2.589281576105278315e+00;2.712990007153817662e-03;2.334139306674518077e-03;-9.659769745772953109e-02;2.610364268353621675e+00;2.000000000000000000e+00;9.999953016405735973e-01;9.961366239407115630e-01
5.000000000000000000e+01;-1.270415265894932200e-02;-1.404510523307228587e-02;-5.360801737981121806e-02;2.543550547536863160e+00;-5.255095569953585621e-03;-6.237179051719249356e-03;-5.360801737981099602e-02;2.545020734659331207e+00;1.000000000000000000e+00;9.965529435280287007e-01;1.001353544115584082e+00
5.100000000000000000e+01;1.219676053649242087e-02;1.572569853108522764e-02;1.527480507873197613e-01;2.628241302532415169e+00;7.238712751271678125e-03;9.823227505592141418e-03;1.527480507873195115e-01;2.630562787466320884e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.000821918285809131e+00
5.200000000000000000e+01;-5.904032762625577302e-04;-5.903303824420891299e-03;-7.731072049475262720e-02;2.641534611294585666e+00;2.834379465899622419e-03;-1.056669307411814418e-03;-7.731072049475236352e-02;2.635796202282608025e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.001940152323212097e+00
5.300000000000000000e+01;3.246052736410987016e-03;2.675339430103285121e-03;-1.179411306968099482e-01;2.536223700923031288e+00;-4.627362318468636326e-03;-5.045339897813846952e-03;-1.179411306968100037e-01;2.542162359794172044e+00;2.000000000000000000e+00;1.003451754831397702e+00;9.984067096775637307e-01
5.400000000000000000e+01;1.393001090429549227e-02;1.664871720786677278e-02;2.039319764427923731e-01;2.628549421359873239e+00;1.015112113436683616e-02;1.214224043570065470e-02;2.039319764427921788e-01;2.645970772112395952e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.970221053028782698e-01
5.500000000000000000e+01;2.182658575993913497e-02;1.249897898411303498e-02;-6.709448174879201199e-02;2.605550655536633453e+00;1.550574707453004908e-02;8.674417827158636962e-03;-6.709448174879170668e-02;2.646335736874894984e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.925137668886485631e-01
5.600000000000000000e+01;-7.413506265060335054e-03;-1.124877666167173329e-03;2.706335656925545896e-03;2.599699383172586309e+00;2.906662937475490427e-05;4.634716664366766992e-03;2.706335656925420996e-03;2.642525814835898323e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.938377175142868447e-01
5.700000000000000000e+01;6.433143803756286028e-03;1.081670887321434238e-02;3.404352249247817597e-02;2.606173284205179019e+00;3.993652656297516645e-03;7.204077043435383465e-03;3.404352249247807882e-02;2.666311132065228851e+00;4.000000000000000000e+00;1.003451754831397702e+00;9.910106286084352512e-01
