time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg
1.700000000000000000e+01;8.593411308783771574e-03;2.503316748029782435e-03;4.720578494309957129e-04;2.451331439751320396e+00;-6.590166362673843814e-04;-3.789200645183676830e-03;4.720578494307181572e-04;2.392134050813990331e+00;1.000000000000000000e+00;9.999812066944210320e-01
1.800000000000000000e+01;-2.319842941621211296e-02;-1.162507596007816835e-02;-1.385405388309846053e-02;2.476604255137310417e+00;-1.254726965745250888e-02;-6.598802756563965088e-03;-1.385405388309843278e-02;2.398131519295836789e+00;0.000000000000000000e+00;9.931106134438250077e-01
1.900000000000000000e+01;-9.706034359239529286e-03;-5.653538521787015991e-03;-2.605968619889265092e-03;2.512446801539361285e+00;-7.009693823707696669e-03;-4.926793871982942941e-03;-2.605968619889126314e-03;2.417118921275452248e+00;0.000000000000000000e+00;9.931106134438250077e-01
2.000000000000000000e+01;5.655947773930691813e-03;4.598255482872126709e-03;-7.660898022826823084e-04;2.520807606465920614e+00;-1.711907118642663761e-03;-2.255539317255972342e-03;-7.660898022826823084e-04;2.433911929265018870e+00;1.000000000000000000e+00;9.999812066944210320e-01
2.100000000000000000e+01;3.266977071481880213e-03;-5.802011720705685383e-03;-2.577920639696001937e-03;2.533743775041089386e+00;-2.317127848826538994e-04;-4.892987484504368600e-03;-2.577920639696140714e-03;2.447448256924557697e+00;0.000000000000000000e+00;9.999812066944210320e-01
2.200000000000000000e+01;1.749633780336354305e-02;7.933359494615488394e-03;5.249610462418535795e-03;2.514222228777784007e+00;3.924696322670062631e-03;-9.904788820890852996e-04;5.249610462418535795e-03;2.453977271861360165e+00;1.000000000000000000e+00;1.006908179861754071e+00
2.300000000000000000e+01;1.724198657405640045e-03;7.416572953843791893e-03;4.557037207034403403e-03;2.506378692921020335e+00;1.065636529318236825e-04;3.032327582822402778e-03;4.557037207034680959e-03;2.461015948481749316e+00;2.000000000000000000e+00;9.999812066944210320e-01
2.400000000000000000e+01;6.520502842703446156e-03;4.043074987788664032e-03;-1.003084807501525288e-03;2.478983932376847221e+00;1.464500769785548329e-03;1.911535372693673462e-04;-1.003084807501941622e-03;2.454249806794214894e+00;3.000000000000000000e+00;9.999812066944210320e-01
2.500000000000000000e+01;-1.788088919801195109e-02;-1.077951194354573317e-02;-1.153830651571549626e-02;2.498717271872948231e+00;-3.501117616609872307e-03;1.488450073628966308e-04;-1.153830651571535748e-02;2.463288907026064400e+00;2.000000000000000000e+00;9.931106134438250077e-01
2.600000000000000000e+01;1.311133947018863766e-02;7.249399860927152606e-03;1.282272640465048630e-02;2.482451402947166041e+00;5.333226483892117287e-03;2.320309452293278785e-03;1.282272640465034752e-02;2.461103987533471038e+00;3.000000000000000000e+00;9.999812066944210320e-01
2.700000000000000000e+01;-1.162681435845619449e-02;-4.093203050719140812e-03;-1.099455987146419345e-03;2.475103433337413783e+00;-1.984456941193202262e-03;1.887665143221500808e-03;-1.099455987146419345e-03;2.455101812260899852e+00;2.000000000000000000e+00;9.999812066944210320e-01
2.800000000000000000e+01;1.156771212654555958e-02;7.576014427980476418e-03;3.539592056957557853e-03;2.472846623826677082e+00;4.787329580165033960e-03;2.735678627978577193e-03;3.539592056957419075e-03;2.463366902585371054e+00;3.000000000000000000e+00;9.999812066944210320e-01
2.900000000000000000e+01;-1.504163569589525573e-02;-1.106767842804007307e-02;-4.656507046662400340e-03;2.492159197921444136e+00;-3.052692727190969846e-03;-1.010159993443587867e-03;-4.656507046662122784e-03;2.464395015946561074e+00;2.000000000000000000e+00;9.931106134438250077e-01
3.000000000000000000e+01;1.090569918630515667e-02;1.217838091537465361e-02;9.383267325194510899e-04;2.460855474310594815e+00;1.690451968906825364e-03;2.344584340257083177e-03;9.383267325194233344e-04;2.458294894303242994e+00;3.000000000000000000e+00;1.006908179861754071e+00
3.100000000000000000e+01;-7.062399795803392388e-03;-1.014047118260835711e-02;-2.703189174422471197e-03;2.469362875062574236e+00;1.433932348228389442e-03;-1.481333713040100530e-04;-2.703189174422443442e-03;2.447512931391012447e+00;2.000000000000000000e+00;9.931106134438250077e-01
3.200000000000000000e+01;-1.342282932613769741e-02;-1.067497425990246440e-02;-1.034759379736627238e-02;2.495932034517878151e+00;-4.379177581418841614e-03;-2.966836294868407942e-03;-1.034759379736641116e-02;2.447658807358163102e+00;1.000000000000000000e+00;9.931106134438250077e-01
3.300000000000000000e+01;-1.336898266741076702e-03;-9.391199210946943321e-03;-5.859917012972337691e-03;2.529779542155794481e+00;-1.094423565900726203e-03;-5.234169470836436133e-03;-5.859917012972337691e-03;2.451711829551446176e+00;0.000000000000000000e+00;9.931106134438250077e-01
3.400000000000000000e+01;4.706721982650069469e-03;9.731973843826791093e-03;1.384945231041942448e-02;2.518086800387034252e+00;-4.030871877155700611e-03;-1.447995230543369649e-03;1.384945231041956326e-02;2.456159294797533477e+00;1.000000000000000000e+00;1.006908179861754071e+00
3.500000000000000000e+01;1.319777101823879639e-02;1.227167997984077163e-02;-1.663390563278022150e-03;2.488469030892852096e+00;2.323128871646207294e-03;1.847137024512168768e-03;-1.663390563277883372e-03;2.452230667773944717e+00;2.000000000000000000e+00;1.006908179861754071e+00
3.600000000000000000e+01;9.031430985536464950e-03;1.236145108435812712e-02;1.406546418644125107e-02;2.460290645669825249e+00;2.863760983248614389e-03;4.575323186218893667e-03;1.406546418644108454e-02;2.455377047314704075e+00;3.000000000000000000e+00;1.006908179861754071e+00
3.700000000000000000e+01;-4.817767154277480257e-03;-1.201225868469041336e-02;-1.141721501750894707e-02;2.473870276214751307e+00;3.297561633756412869e-03;-4.002598230575804550e-04;-1.141721501750891932e-02;2.454199998340489852e+00;2.000000000000000000e+00;9.931106134438250077e-01
3.800000000000000000e+01;4.239833506052115286e-03;1.321404224675143402e-02;1.689679203342139835e-02;2.446325666177501024e+00;4.249099021274849175e-04;5.037469594359272884e-03;1.689679203342150937e-02;2.453423861215872748e+00;3.000000000000000000e+00;1.006908179861754071e+00
3.900000000000000000e+01;-3.536857879123084247e-03;-9.820121023081856970e-03;-5.591252368787213989e-03;2.463169665565857258e+00;4.488839384861942339e-03;1.259370676153115376e-03;-5.591252368787325011e-03;2.452182324340708153e+00;2.000000000000000000e+00;9.931106134438250077e-01
4.000000000000000000e+01;-1.648663031297609161e-02;-1.192333179994442549e-02;-1.601134947349594495e-02;2.484375202823335904e+00;-5.688180293646094565e-03;-3.342738217023438763e-03;-1.601134947349608373e-02;2.447492685568201765e+00;1.000000000000000000e+00;9.931106134438250077e-01
4.100000000000000000e+01;-1.201937457421045630e-02;-9.363086839552503537e-03;-3.900356108274632971e-03;2.511016208406635641e+00;-5.563194515826042075e-03;-4.197916964359366121e-03;-3.900356108274216638e-03;2.444030239378603753e+00;0.000000000000000000e+00;9.931106134438250077e-01
4.200000000000000000e+01;1.152028263621504567e-02;9.488914753518484790e-03;4.750196181822041730e-03;2.495602042010648169e+00;-4.151715703383795919e-04;-1.459253102933766311e-03;4.750196181821902952e-03;2.445100748165374593e+00;1.000000000000000000e+00;1.006908179861754071e+00
4.300000000000000000e+01;1.128916222117459789e-02;1.271196201418559046e-02;1.536722654124261789e-02;2.482494678374356223e+00;2.081159511817309848e-03;2.812449496815666583e-03;1.536722654124261789e-02;2.456894960282944851e+00;2.000000000000000000e+00;1.006908179861754071e+00
4.400000000000000000e+01;-9.617529846225908452e-03;-1.228885567767956655e-02;-8.035026487651225624e-03;2.508908751981796303e+00;-1.211481877876147140e-03;-2.584488703436166324e-03;-8.035026487650948068e-03;2.464202442681742156e+00;1.000000000000000000e+00;9.931106134438250077e-01
4.500000000000000000e+01;1.320296908074208853e-02;1.377362816246369137e-02;5.663745644644085919e-03;2.489963866950054783e+00;3.693524254451463484e-03;3.986831347523367430e-03;5.663745644643919386e-03;2.470147280264183287e+00;2.000000000000000000e+00;1.006908179861754071e+00
4.600000000000000000e+01;1.686236082918082801e-02;1.392287643881562342e-02;1.389783180216699887e-02;2.466331293208975595e+00;7.779606658487897564e-03;6.268771819818164115e-03;1.389783180216688785e-02;2.477973123984113180e+00;3.000000000000000000e+00;1.006908179861754071e+00
4.700000000000000000e+01;-8.075603585568524867e-03;-9.217361868820439508e-03;-1.121668389863220150e-02;2.476463460938264305e+00;3.438906572301475562e-03;2.852066173580247721e-03;-1.121668389863206272e-02;2.472021281132529946e+00;2.000000000000000000e+00;9.931106134438250077e-01
4.800000000000000000e+01;1.000757161136534013e-02;1.322354620184049145e-02;1.635950606879096880e-02;2.449314555371306934e+00;3.204717181497424017e-03;4.857662326398448638e-03;1.635950606879080227e-02;2.471902168776585640e+00;3.000000000000000000e+00;1.006908179861754071e+00
4.900000000000000000e+01;-2.338368745852775765e-03;-2.886788259133604706e-03;-1.277774666175929275e-03;2.436890012974187947e+00;4.860604857227390774e-03;4.578728447341751107e-03;-1.277774666175901519e-03;2.457466921599340104e+00;2.000000000000000000e+00;9.999812066944210320e-01
