time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	BigTheta	Delta8LogC	Delta8LogY
0.0	-0.00011384309380801927	0.00099559226649725829	0.0077604353999277675	6.2308955123746701	0.9965529435280287	0.0022938053215465493	0.0033855270923938141
1.0	-0.01002618802549804	-0.0059566652700820955	-0.014752388707767183	6.2595101573134642	0.9999953016405736	-0.0026209031073562983	-0.0060075865067713563
2.0	0.0030076038008742811	0.00024077018605184186	0.0020844893397529152	6.2498724496159737	0.9965529435280287	-0.0087792905347892081	-0.015849298225677821
3.0	0.0062054843905572366	0.0050719051205865284	0.0082814820212236961	6.2057197899539016	0.9965529435280287	0.0026048697658386244	0.0051251780178354078
4.0	-0.0077834420394307102	-0.0053687052209141495	-0.0046948724514079831	6.2492775652626085	0.9999953016405736	-0.0018029422331153899	0.0018072645194849857
5.0	0.0060183964789100042	0.0042441907901988873	-0.0016345219622382334	6.1914331679385581	0.9999953016405736	-0.0026032020756624474	-0.0094549455860534204
6.0	0.00013706618952546989	0.00041962053228417062	0.0079535388318369149	6.196431676106406	0.9965529435280287	0.0036682779083143657	0.0072765301495471002
7.0	-0.0063834278478164252	-0.0061957512384407387	-0.016885195739915648	6.2161516380559041	1.0034517548313977	-0.0065490428338182971	-0.011887033268587754
8.0	-0.006286860873483735	-0.0059648321732020948	0.0044781927552177692	6.263511508222499	1.0034517548313977	-0.01350946727351765	-0.015169275913297753
9.0	0.0069077129068751963	0.0058139047314088588	0.0014435782220224569	6.2132299803187667	1.0034517548313977	-0.001738897272026696	0.0010266910164918874
10.0	0.0023786874262701208	0.00099256508637912688	0.0074936509017053954	6.2232350147161224	0.9965529435280287	-0.00098710237169941095	0.0064358525784443676
11.0	-0.008797629386683159	-0.0048947561194789824	-0.0050072287420037664	6.2760157526762592	1.0034517548313977	-0.010953763611764922	-0.0068528581847830949
12.0	-0.0033204042469084927	-0.0069086803840705535	-0.011375034738986489	6.317308198463909	0.9999953016405736	-0.012493738774921326	-0.013533020472361601
13.0	-0.0021765799292938759	-0.00073711468084081133	-0.0022167998239274178	6.3112702645783019	0.9965529435280287	-0.017475044245961024	-0.014115298334050785
14.0	-0.00760647893757882	-0.007996221144994653	-0.015604822186887524	6.3288954032873495	0.9965529435280287	-0.025890885923239848	-0.037673659352775224
15.0	-0.0028320287250492848	1.5312914680598588e-05	0.0066229174289209602	6.3202231655886889	0.9999953016405736	-0.019679821770118511	-0.014165546183938615
16.0	0.0014458417120533085	-0.00084345745723368726	-0.0057831779033463704	6.2985746697939673	1.0034517548313977	-0.014558447054150103	-0.024426916842502755
17.0	-0.0038189865134211631	-0.0062480858507927284	0.00052319513609977442	6.338312762290971	1.0034517548313977	-0.02662043763635169	-0.025347299928425437
18.0	-0.0048341374098745948	-0.00021798162920294573	-0.0012176008614231959	6.3318378313629262	0.9965529435280287	-0.027830984351933763	-0.034058551691554029
19.0	0.0013921641295963072	0.0030085454279908941	-0.003243729164845166	6.265447767369511	1.0034517548313977	-0.019927682804463887	-0.032295052114395428
20.0	-0.0043151411136981288	-0.0047370129939658945	0.0056049650192734335	6.3131229434013232	1.0034517548313977	-0.017756015414359227	-0.015315052356135506
21.0	0.0045804876299033737	0.00096322447479635365	0.00034771573777658826	6.3158275026809507	1.0034517548313977	-0.016055676258722062	-0.0127505367944315
