time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState
2.300000000000000000e+01;1.484756588019886525e-03;7.177801484871099147e-03;2.107707510593859190e-03;2.512671771074165061e+00;-1.385709935060597253e-04;2.784772649817746082e-03;2.107707510593997968e-03;2.467083428804520917e+00;2.000000000000000000e+00
2.400000000000000000e+01;6.500343951627740591e-03;4.022624238859601187e-03;1.446244888939074436e-03;2.484903841564844562e+00;1.440137099666699561e-03;1.678432211720537470e-04;1.446244888938658102e-03;2.459977344645850383e+00;3.000000000000000000e+00
2.500000000000000000e+01;-1.752099297360495966e-02;-1.041877912859287547e-02;-6.702292855097047308e-03;2.508802234648077611e+00;-3.128052387491170316e-03;5.188908693283533768e-04;-6.702292855096769753e-03;2.473148452129373620e+00;2.000000000000000000e+00
2.600000000000000000e+01;1.267063452868671947e-02;6.808004343064916197e-03;3.148894687334258258e-03;2.487470504657912862e+00;4.880695359132797284e-03;1.870270709965732303e-03;3.148894687333980702e-03;2.465931276505130665e+00;3.000000000000000000e+00
2.700000000000000000e+01;-1.174209092730729709e-02;-4.207592108912694417e-03;2.610285821205066137e-03;2.478806707969492429e+00;-2.094030385940831573e-03;1.774888553828457560e-03;2.610285821205204915e-03;2.458622211355241394e+00;2.000000000000000000e+00
2.800000000000000000e+01;1.135474594811258786e-02;7.362578000406072576e-03;2.218338608863001937e-03;2.474104017421805413e+00;4.570950326621581183e-03;2.520996566470534717e-03;2.218338608862974182e-03;2.464453554429894222e+00;3.000000000000000000e+00
2.900000000000000000e+01;-1.542643480849897886e-02;-1.145200938144580460e-02;-7.044995406919163372e-03;2.488983881971629675e+00;-3.439120412066232202e-03;-1.398277327468999687e-03;-7.044995406919274394e-03;2.461075921962309287e+00;2.000000000000000000e+00
3.000000000000000000e+01;1.133715089154327393e-02;1.260998255117756761e-02;1.061215844983554035e-02;2.462435057596404686e+00;2.128535632761691110e-03;2.782126884654179122e-03;1.061215844983551260e-02;2.459734076507544831e+00;3.000000000000000000e+00
3.100000000000000000e+01;-6.856818523747670868e-03;-9.935252528299798325e-03;-5.089971724440284229e-03;2.473119615195551901e+00;1.641867067188329532e-03;6.111008359652170263e-05;-5.089971724439978917e-03;2.451117221711895500e+00;2.000000000000000000e+00
3.200000000000000000e+01;-1.305258955769880713e-02;-1.030441077544519413e-02;-7.960811247348709152e-03;2.503949750869768565e+00;-3.997537662608019460e-03;-2.586364710456867666e-03;-7.960811247348709152e-03;2.455450423601203358e+00;1.000000000000000000e+00
3.300000000000000000e+01;-1.302954919138371581e-03;-9.358204714782825118e-03;-9.567870246556670066e-03;2.538418479078454304e+00;-1.059601026118933698e-03;-5.195922399327673746e-03;-9.567870246556947622e-03;2.460051130652320950e+00;0.000000000000000000e+00
3.400000000000000000e+01;4.266265953087683416e-03;9.292109823116678768e-03;7.883573826687639841e-03;2.521696033493285860e+00;-4.483059848554488136e-03;-1.902319841056321348e-03;7.883573826687917396e-03;2.459575231389819816e+00;1.000000000000000000e+00
3.500000000000000000e+01;1.357550634639914655e-02;1.264930620817728002e-02;8.010441154038289158e-03;2.496272313425489386e+00;2.705864442412747595e-03;2.230266351132270675e-03;8.010441154038150380e-03;2.459877093037632356e+00;2.000000000000000000e+00
3.600000000000000000e+01;8.989785516410886412e-03;1.232019791425181809e-02;9.229450525822829876e-03;2.467530783819906759e+00;2.816520178305692568e-03;4.526666521655259290e-03;9.229450525822802121e-03;2.462524713041283064e+00;3.000000000000000000e+00
3.700000000000000000e+01;-4.466834317460061099e-03;-1.166217340791400603e-02;-6.581201356890664655e-03;2.485122925868111565e+00;3.651363571390703333e-03;-4.339892789537169726e-05;-6.581201356890498122e-03;2.465315601450400962e+00;2.000000000000000000e+00
3.800000000000000000e+01;3.965700280227163477e-03;1.294096624376095406e-02;9.611448676362488452e-03;2.454506910607642478e+00;1.461116523823746682e-04;4.754855686027514849e-03;9.611448676362488452e-03;2.461534981009095180e+00;3.000000000000000000e+00
3.900000000000000000e+01;-3.790408483270640838e-03;-1.007441183836807475e-02;-5.591252368787325011e-03;2.468648872138770933e+00;4.236133732571312205e-03;1.009336544846695105e-03;-5.591252368787213989e-03;2.457537570769217528e+00;2.000000000000000000e+00
4.000000000000000000e+01;-1.613342717578666874e-02;-1.156959107514948792e-02;-8.726006116437035054e-03;2.494020800689676243e+00;-5.322732568978111312e-03;-2.979230717912700888e-03;-8.726006116437007298e-03;2.456937704346095153e+00;1.000000000000000000e+00
4.100000000000000000e+01;-1.207908709464849961e-02;-9.422486431226673176e-03;-8.736369768892859877e-03;2.520168374363715991e+00;-5.616943828134934869e-03;-4.252795678423459957e-03;-8.736369768892859877e-03;2.452909655450683957e+00;0.000000000000000000e+00
4.200000000000000000e+01;1.167028244621032274e-02;9.638675254559303518e-03;7.199427292422927449e-03;2.506396311413919609e+00;-2.666504875454556167e-04;-1.309868322122653694e-03;7.199427292422927449e-03;2.455674826390295440e+00;1.000000000000000000e+00
4.300000000000000000e+01;1.083585174454487765e-02;1.225881915304971592e-02;8.080177373943953079e-03;2.488082958685537971e+00;1.614861469605211042e-03;2.345546507871887343e-03;8.080177373943953079e-03;2.462337671381823245e+00;2.000000000000000000e+00
