t,pi,Y,i
1966Q1,2.027726462326318,4409.518,4.56
1966Q2,3.2809272256504096,4424.581,4.913333333333333
1966Q3,3.3420896701509717,4462.053,5.41
1966Q4,3.5106125343581374,4498.66,5.5633333333333335
1967Q1,2.2172381579597777,4538.498,4.823333333333333
1967Q2,2.7030988743893536,4541.28,3.9899999999999998
1967Q3,3.6868999737552866,4584.246,3.893333333333333
1967Q4,4.099099819771168,4618.812,4.173333333333333
1968Q1,4.626964682421297,4713.013,4.79
1968Q2,4.741267185358122,4791.758,5.983333333333333
1968Q3,4.554924681617445,4828.892,5.946666666666666
1968Q4,4.7283229880399125,4847.885,5.916666666666667
1969Q1,4.4443613036874385,4923.76,6.566666666666666
1969Q2,4.874927146116881,4938.728,8.326666666666666
1969Q3,4.6977053489222875,4971.349,8.983333333333333
1969Q4,4.779851747570585,4947.104,8.94
1970Q1,4.434231410319089,4939.759,8.573333333333332
1970Q2,4.588913164016928,4946.77,7.886666666666667
1970Q3,4.5368729679635456,4992.357,6.706666666666667
1970Q4,5.734082840626531,4938.857,5.566666666666666
1971Q1,5.159697948356112,5072.996,3.856666666666667
1971Q2,4.645064457771597,5100.447,4.566666666666666
1971Q3,3.821648782308773,5142.422,5.476666666666667
1971Q4,2.307614077587372,5154.547,4.75
1972Q1,3.8868078576567155,5249.337,3.546666666666667
1972Q2,2.7326716003723384,5368.485,4.3
1972Q3,3.040745826667335,5419.184,4.743333333333333
1972Q4,2.5347392821113868,5509.926,5.1466666666666665
1973Q1,2.8178709096540855,5646.286,6.536666666666666
1973Q2,5.557327598313422,5707.755,7.816666666666666
1973Q3,5.430422724380013,5677.738,10.56
1973Q4,5.675159521543982,5731.632,9.996666666666666
1974Q1,7.048724156916686,5682.353,9.323333333333332
1974Q2,10.320832607969322,5695.859,11.25
1974Q3,11.93327124751411,5642.025,12.089999999999998
1974Q4,10.136543231700212,5620.126,9.346666666666666
1975Q1,8.052191302632838,5551.713,6.303333333333334
1975Q2,6.227302116867195,5591.382,5.419999999999999
1975Q3,6.146424601671652,5687.087,6.16
1975Q4,6.671137814679029,5763.665,5.413333333333334
1976Q1,6.222421474264173,5893.276,4.826666666666667
1976Q2,4.877026223059522,5936.515,5.196666666666666
1976Q3,6.419592932901952,5969.089,5.283333333333333
1976Q4,6.40401493429672,6012.356,4.873333333333334
1977Q1,6.899888264358478,6083.391,4.66
1977Q2,6.262025373644642,6201.659,5.156666666666666
1977Q3,6.820718838174811,6313.559,5.82
1977Q4,5.939893600063284,6313.697,6.513333333333333
1978Q1,6.386531545719865,6333.848,6.756666666666667
1978Q2,7.08145796972961,6578.605,7.283333333333334
1978Q3,7.039507513847321,6644.754,8.1
1978Q4,7.381271218722252,6734.069,9.583333333333334
1979Q1,5.576431308866536,6746.176,10.073333333333332
1979Q2,9.084738020936655,6753.389,10.18
1979Q3,7.592775224213666,6803.558,10.946666666666667
1979Q4,8.61171263387459,6820.572,13.576666666666666
1980Q1,10.146357608301116,6842.024,15.046666666666667
1980Q2,9.25166483078057,6701.046,12.686666666666667
1980Q3,9.208420477430735,6693.082,9.836666666666666
1980Q4,10.108699875040884,6817.903,15.853333333333333
1981Q1,9.170729490905384,6951.495,16.569999999999997
